经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
111.822357,40.853507,1499.04,0.0,37.6,71.9,0.0,0.007789
111.822402,40.853518,1501.83,0.0,37.6,71.9,0.0,0.009061
111.822447,40.853529,1504.62,0.0,37.6,71.9,0.0,0.010284
111.822493,40.85354,1507.5,0.0,37.6,71.9,0.0,0.011757
111.82254,40.853552,1510.4,0.0,37.6,71.9,0.0,0.013501
111.822587,40.853563,1513.31,0.0,37.6,71.9,0.0,0.015354
111.822626,40.853573,1515.71,0.0,37.6,71.9,0.0,0.017365
111.822656,40.85358,1517.6,0.0,37.6,71.9,0.0,0.019538
111.822687,40.853588,1519.5,0.0,37.6,71.9,0.0,0.021797
111.822717,40.853595,1521.39,0.0,37.6,71.9,0.0,0.023571
111.822748,40.853603,1523.29,0.0,37.6,71.9,0.0,0.023447
111.822784,40.853612,1525.53,0.0,37.6,71.9,0.0,0.024037
111.822828,40.853623,1528.28,0.0,37.6,71.9,0.0,0.025614
111.822873,40.853634,1531.04,0.0,37.5,71.9,0.0,0.02789
111.822917,40.853645,1533.79,0.0,37.5,71.9,0.0,0.030017
111.822961,40.853656,1536.49,0.0,37.5,71.9,0.0,0.029138
111.823004,40.853666,1539.19,0.0,37.5,71.9,0.0,0.028291
111.823048,40.853677,1541.9,0.0,37.5,71.9,0.0,0.027616
111.823094,40.853689,1544.78,0.0,37.5,71.9,0.0,0.028214
111.823142,40.8537,1547.72,0.0,37.5,71.9,0.0,0.0295
111.823189,40.853712,1550.65,0.0,37.5,71.9,0.0,0.032323
111.823227,40.853721,1552.99,0.0,37.5,71.9,0.0,0.034219
111.823255,40.853728,1554.73,0.0,37.5,71.9,0.0,0.034695
111.823283,40.853735,1556.47,0.0,37.5,71.9,0.0,0.034323
111.823311,40.853742,1558.21,0.0,37.5,71.9,0.0,0.034077
111.823339,40.853749,1559.95,0.0,37.5,71.9,0.0,0.034649
111.823375,40.853758,1562.18,0.0,37.5,71.9,0.0,0.035294
111.823423,40.85377,1565.15,0.0,37.5,71.9,0.0,0.035932
111.823471,40.853782,1568.11,0.0,37.4,71.9,0.0,0.036784
111.823518,40.853794,1571.07,0.0,37.4,71.9,0.0,0.037602
111.823563,40.853805,1573.85,0.0,37.4,71.9,0.0,0.038201
111.823608,40.853816,1576.63,0.0,37.4,71.9,0.0,0.039072
111.823653,40.853827,1579.41,0.0,37.4,71.9,0.0,0.040125
111.823686,40.853835,1581.49,0.0,37.4,71.9,0.0,0.03949
111.823717,40.853843,1583.39,0.0,37.4,71.9,0.0,0.038451
111.823748,40.85385,1585.29,0.0,37.4,71.9,0.0,0.037942
111.823779,40.853858,1587.2,0.0,37.4,71.9,0.0,0.0376
111.823809,40.853865,1589.1,0.0,37.4,71.9,0.0,0.037274
111.823851,40.853876,1591.67,0.0,37.4,71.9,0.0,0.037567
111.823897,40.853887,1594.53,0.0,37.4,71.9,0.0,0.038139
111.823943,40.853898,1597.38,0.0,37.4,71.9,0.0,0.038647
111.823989,40.85391,1600.24,0.0,37.4,71.9,0.0,0.038856
111.824035,40.853921,1603.09,0.0,37.4,71.9,0.0,0.03822
111.824081,40.853932,1605.95,0.0,37.3,71.9,0.0,0.037667
111.824126,40.853944,1608.71,0.0,37.3,71.9,0.0,0.037313
111.824157,40.853951,1610.64,0.0,37.3,71.9,0.0,0.037971
111.824188,40.853959,1612.57,0.0,37.3,71.9,0.0,0.038482
111.824219,40.853967,1614.51,0.0,37.3,71.9,0.0,0.038806
111.824251,40.853974,1616.44,0.0,37.3,71.9,0.0,0.038404
111.824282,40.853982,1618.37,0.0,37.3,71.9,0.0,0.037867
111.824327,40.853993,1621.16,0.0,37.3,71.9,0.0,0.036107
111.824372,40.854005,1623.96,0.0,37.3,71.9,0.0,0.034743
111.824417,40.854016,1626.76,0.0,37.3,71.9,0.0,0.033634
111.824465,40.854028,1629.73,0.0,37.3,71.9,0.0,0.033626
111.824514,40.85404,1632.77,0.0,37.3,71.9,0.0,0.034295
111.824563,40.854052,1635.81,0.0,37.3,71.9,0.0,0.035244
111.824611,40.854063,1638.75,0.0,37.3,71.9,0.0,0.035767
111.824656,40.854075,1641.53,0.0,37.3,71.9,0.0,0.03508
111.824701,40.854086,1644.31,0.0,37.2,71.9,0.0,0.034571
111.824744,40.854096,1647.01,0.0,37.2,71.9,0.0,0.034009
111.824776,40.854104,1648.98,0.0,37.2,71.9,0.0,0.03338
111.824808,40.854112,1650.95,0.0,37.2,71.9,0.0,0.032346
111.82484,40.85412,1652.92,0.0,37.2,71.9,0.0,0.031053
111.824872,40.854128,1654.9,0.0,37.2,71.9,0.0,0.031145
111.824904,40.854136,1656.87,0.0,37.2,71.9,0.0,0.031578
111.824949,40.854147,1659.71,0.0,37.2,71.9,0.0,0.031317
111.824995,40.854158,1662.55,0.0,37.2,71.9,0.0,0.031032
111.825041,40.85417,1665.39,0.0,37.2,71.9,0.0,0.030766
111.825089,40.854182,1668.36,0.0,37.2,71.9,0.0,0.029544
111.825138,40.854194,1671.39,0.0,37.2,71.9,0.0,0.027796
111.825187,40.854206,1674.43,0.0,37.2,71.9,0.0,0.026086
111.825229,40.854216,1677.03,0.0,37.2,71.9,0.0,0.024551
111.825261,40.854224,1679.0,0.0,37.2,71.9,0.0,0.023123
111.825293,40.854232,1680.96,0.0,37.2,71.9,0.0,0.022101
111.825325,40.85424,1682.93,0.0,37.1,71.9,0.0,0.021107
111.825356,40.854248,1684.89,0.0,37.1,71.9,0.0,0.020728
111.825396,40.854258,1687.35,0.0,37.1,71.9,0.0,0.020535
111.825441,40.854269,1690.14,0.0,37.1,71.9,0.0,0.02072
111.825486,40.85428,1692.94,0.0,37.1,71.9,0.0,0.020923
111.825531,40.854291,1695.73,0.0,37.1,71.9,0.0,0.021346
111.825578,40.854303,1698.61,0.0,37.1,71.9,0.0,0.021208
111.825625,40.854314,1701.5,0.0,37.1,71.9,0.0,0.021144
111.825671,40.854326,1704.38,0.0,37.1,71.9,0.0,0.02138
111.825718,40.854337,1707.27,0.0,37.1,71.9,0.0,0.019973
111.825765,40.854349,1710.15,0.0,37.1,71.9,0.0,0.017748
111.825811,40.85436,1713.04,0.0,37.1,71.9,0.0,0.015328
111.825853,40.854371,1715.62,0.0,37.1,71.9,0.0,0.013632
111.825887,40.854379,1717.75,0.0,37.1,71.9,0.0,0.01208
111.825922,40.854388,1719.88,0.0,37.1,71.9,0.0,0.011809
111.825957,40.854396,1722.01,0.0,37.1,71.9,0.0,0.011568
111.825991,40.854405,1724.15,0.0,37.1,71.9,0.0,0.010678
111.826032,40.854415,1726.7,0.0,37.1,71.9,0.0,0.011791
111.826078,40.854426,1729.54,0.0,37.1,71.9,0.0,0.014276
111.826124,40.854438,1732.39,0.0,37.0,71.9,0.0,0.016752
111.82617,40.854449,1735.23,0.0,37.0,71.9,0.0,0.019362
111.826217,40.85446,1738.1,0.0,37.0,71.9,0.0,0.021451
111.826263,40.854472,1740.97,0.0,37.0,71.9,0.0,0.023693
111.826309,40.854483,1743.84,0.0,37.0,71.9,0.0,0.026017
111.826348,40.854493,1746.21,0.0,37.0,71.9,0.0,0.028852
111.826383,40.854501,1748.38,0.0,37.0,71.9,0.0,0.032331
111.826418,40.85451,1750.55,0.0,37.0,71.9,0.0,0.03774
111.826453,40.854519,1752.71,0.0,37.0,71.9,0.0,0.042925
111.826488,40.854527,1754.88,0.0,37.0,71.9,0.0,0.048028
111.826534,40.854539,1757.75,0.0,37.0,71.9,0.0,0.053765
111.826582,40.854551,1760.69,0.0,37.0,71.9,0.0,0.059516
111.826629,40.854562,1763.63,0.0,37.0,71.9,0.0,0.065191
111.826676,40.854574,1766.53,0.0,37.0,71.9,0.0,0.070663
111.826723,40.854585,1769.41,0.0,37.0,71.9,0.0,0.07601
111.826769,40.854597,1772.28,0.0,37.0,71.9,0.0,0.081314
111.826816,40.854608,1775.16,0.0,37.0,71.9,0.0,0.086654
111.82685,40.854617,1777.29,0.0,37.0,71.9,0.0,0.092366
111.826885,40.854625,1779.42,0.0,37.0,71.9,0.0,0.097959
111.826919,40.854634,1781.55,0.0,36.9,71.9,0.0,0.103697
111.826954,40.854642,1783.68,0.0,36.9,71.9,0.0,0.10944
111.826991,40.854652,1785.98,0.0,36.9,71.9,0.0,0.115896
111.827039,40.854664,1788.94,0.0,36.9,71.9,0.0,0.124828
111.827086,40.854675,1791.9,0.0,36.9,71.9,0.0,0.133996
111.827134,40.854687,1794.86,0.0,36.9,71.9,0.0,0.143356
111.827186,40.8547,1798.04,0.0,36.9,71.9,0.0,0.150063
111.827237,40.854713,1801.24,0.0,36.9,71.9,0.0,0.1565
111.827289,40.854726,1804.44,0.0,36.9,71.9,0.0,0.16289
111.827336,40.854737,1807.34,0.0,36.9,71.9,0.0,0.166756
111.82738,40.854748,1810.04,0.0,36.9,71.9,0.0,0.169018
111.827424,40.854759,1812.74,0.0,36.9,71.9,0.0,0.17138
111.827467,40.85477,1815.44,0.0,36.9,71.9,0.0,0.173763
111.827503,40.854778,1817.65,0.0,36.9,71.9,0.0,0.175108
111.827539,40.854787,1819.87,0.0,36.9,71.9,0.0,0.177447
111.827575,40.854796,1822.09,0.0,36.9,71.9,0.0,0.180566
111.827611,40.854805,1824.3,0.0,36.9,71.9,0.0,0.183615
111.82765,40.854815,1826.67,0.0,36.9,71.9,0.0,0.185861
111.827697,40.854826,1829.61,0.0,36.9,71.9,0.0,0.185617
111.827745,40.854838,1832.55,0.0,36.9,71.9,0.0,0.185315
111.827793,40.85485,1835.49,0.0,36.9,71.9,0.0,0.185076
111.827845,40.854863,1838.68,0.0,36.9,71.9,0.0,0.183794
111.827897,40.854876,1841.89,0.0,36.8,71.9,0.0,0.182418
111.827949,40.854889,1845.1,0.0,36.8,71.9,0.0,0.181099
111.827997,40.8549,1848.03,0.0,36.8,71.9,0.0,0.177927
111.828041,40.854911,1850.76,0.0,36.8,71.9,0.0,0.173557
111.828086,40.854922,1853.49,0.0,36.8,71.9,0.0,0.169121
111.82813,40.854933,1856.22,0.0,36.8,71.9,0.0,0.164781
111.828167,40.854942,1858.49,0.0,36.8,71.9,0.0,0.160112
111.828204,40.854952,1860.76,0.0,36.8,71.9,0.0,0.155288
111.828241,40.854961,1863.02,0.0,36.8,71.9,0.0,0.150599
111.828278,40.85497,1865.29,0.0,36.8,71.9,0.0,0.145787
111.828318,40.85498,1867.71,0.0,36.8,71.9,0.0,0.140765
111.828367,40.854992,1870.72,0.0,36.8,71.9,0.0,0.134753
111.828416,40.855004,1873.73,0.0,36.8,71.9,0.0,0.128736
111.828465,40.855016,1876.75,0.0,36.8,71.9,0.0,0.122754
111.828518,40.855029,1879.99,0.0,36.8,71.9,0.0,0.11827
111.828571,40.855042,1883.25,0.0,36.8,71.9,0.0,0.114084
111.828624,40.855055,1886.52,0.0,36.8,71.9,0.0,0.109978
111.828665,40.855066,1889.0,0.0,36.8,71.9,0.0,0.106272
111.828697,40.855073,1890.96,0.0,36.8,71.9,0.0,0.102602
111.828728,40.855081,1892.91,0.0,36.8,71.9,0.0,0.098087
111.82876,40.855089,1894.87,0.0,36.8,71.9,0.0,0.093093
111.828792,40.855097,1896.82,0.0,36.8,71.9,0.0,0.089391
111.828835,40.855108,1899.43,0.0,36.8,71.9,0.0,0.084408
111.828888,40.855121,1902.68,0.0,36.8,71.9,0.0,0.078347
111.828941,40.855134,1905.94,0.0,36.8,71.9,0.0,0.07245
111.828994,40.855147,1909.2,0.0,36.8,71.9,0.0,0.066865
111.829048,40.85516,1912.48,0.0,36.8,71.9,0.0,0.062343
111.829101,40.855173,1915.75,0.0,36.7,71.9,0.0,0.057866
111.829155,40.855187,1919.03,0.0,36.7,71.9,0.0,0.053487
111.829205,40.855199,1922.11,0.0,36.7,71.9,0.0,0.049303
111.829255,40.855212,1925.16,0.0,36.7,71.9,0.0,0.045181
111.829305,40.855224,1928.22,0.0,36.7,71.9,0.0,0.041063
111.829345,40.855234,1930.66,0.0,36.7,71.9,0.0,0.038821
111.829378,40.855242,1932.69,0.0,36.7,71.9,0.0,0.037957
111.829411,40.85525,1934.72,0.0,36.7,71.9,0.0,0.035644
111.829445,40.855258,1936.76,0.0,36.7,71.9,0.0,0.033041
111.829478,40.855267,1938.79,0.0,36.7,71.9,0.0,0.03138
111.829521,40.855277,1941.46,0.0,36.7,71.9,0.0,0.030143
111.829576,40.855291,1944.78,0.0,36.7,71.9,0.0,0.029473
111.82963,40.855304,1948.09,0.0,36.7,71.9,0.0,0.028842
111.829683,40.855317,1951.37,0.0,36.7,71.9,0.0,0.028132
111.829734,40.85533,1954.49,0.0,36.7,71.9,0.0,0.026039
111.829785,40.855342,1957.61,0.0,36.7,71.9,0.0,0.023984
111.829836,40.855355,1960.73,0.0,36.7,71.9,0.0,0.022103
111.829873,40.855364,1962.96,0.0,36.7,71.9,0.0,0.018933
111.829907,40.855373,1965.09,0.0,36.7,71.9,0.0,0.015548
111.829942,40.855381,1967.22,0.0,36.7,71.9,0.0,0.011247
111.829977,40.85539,1969.35,0.0,36.7,71.9,0.0,0.008017
111.830012,40.855399,1971.48,0.0,36.7,71.9,0.0,0.005545
111.830063,40.855411,1974.6,0.0,36.7,71.9,0.0,0.004718
111.830118,40.855425,1977.96,0.0,36.7,71.9,0.0,0.004237
111.830173,40.855438,1981.32,0.0,36.7,71.9,0.0,0.003809
111.830226,40.855452,1984.58,0.0,36.7,71.9,0.0,0.003427
111.830277,40.855464,1987.75,0.0,36.7,71.9,0.0,0.003194
111.830329,40.855477,1990.91,0.0,36.6,71.9,0.0,0.003043
111.830381,40.85549,1994.08,0.0,36.6,71.9,0.0,0.003012
111.830433,40.855503,1997.25,0.0,36.6,71.9,0.0,0.003758
111.830484,40.855515,2000.41,0.0,36.6,71.9,0.0,0.004937
111.830536,40.855528,2003.58,0.0,36.6,71.9,0.0,0.006562
111.830574,40.855538,2005.89,0.0,36.6,71.9,0.0,0.00687
111.83061,40.855547,2008.1,0.0,36.6,71.9,0.0,0.007473
111.830646,40.855556,2010.32,0.0,36.6,71.9,0.0,0.007836
111.830682,40.855564,2012.53,0.0,36.6,71.9,0.0,0.009158
111.830719,40.855573,2014.75,0.0,36.6,71.9,0.0,0.011094
111.830767,40.855585,2017.73,0.0,36.6,71.9,0.0,0.011056
111.830819,40.855598,2020.91,0.0,36.6,71.9,0.0,0.010955
111.830871,40.855611,2024.1,0.0,36.6,71.9,0.0,0.01153
111.830925,40.855624,2027.39,0.0,36.6,71.9,0.0,0.011833
111.830981,40.855638,2030.8,0.0,36.6,71.9,0.0,0.011652
111.831037,40.855652,2034.22,0.0,36.6,71.9,0.0,0.011615
111.831088,40.855665,2037.36,0.0,36.6,71.9,0.0,0.011831
111.831122,40.855673,2039.43,0.0,36.6,71.9,0.0,0.0125
111.831156,40.855681,2041.5,0.0,36.6,71.9,0.0,0.013494
111.83119,40.85569,2043.57,0.0,36.6,71.9,0.0,0.015217
111.831223,40.855698,2045.64,0.0,36.6,71.9,0.0,0.016509
111.83126,40.855707,2047.85,0.0,36.6,71.9,0.0,0.017504
111.831316,40.855721,2051.32,0.0,36.6,71.9,0.0,0.01689
111.831373,40.855735,2054.79,0.0,36.5,71.9,0.0,0.016549
111.831429,40.855749,2058.26,0.0,36.5,71.9,0.0,0.016484
111.831483,40.855762,2061.51,0.0,36.5,71.9,0.0,0.016598
111.831535,40.855775,2064.71,0.0,36.5,71.9,0.0,0.017017
111.831587,40.855788,2067.9,0.0,36.5,71.9,0.0,0.017266
111.831631,40.855799,2070.63,0.0,36.5,71.9,0.0,0.017604
