经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
112.031122,40.90624,9018.91,-1.0,-0.4,71.1,0.0,0.172055
112.031206,40.906261,9018.64,-1.0,-0.4,71.1,0.0,0.196474
112.03129,40.906283,9018.37,-1.0,-0.3,71.0,0.0,0.224245
112.031375,40.906305,9018.11,-1.0,-0.3,71.0,0.0,0.247868
112.031459,40.906327,9017.84,-1.0,-0.3,71.0,0.0,0.270301
112.031575,40.906357,9017.48,-1.0,-0.3,71.0,0.0,0.295414
112.031691,40.906387,9017.12,-1.0,-0.2,71.0,0.0,0.318709
112.031807,40.906417,9016.76,-1.0,-0.2,71.0,0.0,0.339332
112.031933,40.90645,9016.38,-1.0,-0.2,71.0,0.0,0.357868
112.032064,40.906484,9015.98,-1.0,-0.2,71.0,0.0,0.376557
112.032194,40.906518,9015.59,-1.0,-0.2,71.0,0.0,0.402396
112.032319,40.906551,9015.21,-1.0,-0.2,71.0,0.0,0.426046
112.032434,40.90658,9014.88,-1.0,-0.2,71.0,0.0,0.446041
112.032549,40.90661,9014.54,-1.0,-0.1,71.0,0.0,0.466773
112.032665,40.906641,9014.19,-1.0,-0.1,71.0,0.0,0.486873
112.032798,40.906675,9013.81,-1.0,-0.1,71.0,0.0,0.502529
112.032931,40.90671,9013.43,-1.0,0.0,71.0,0.0,0.521948
112.033064,40.906744,9013.05,-1.0,0.0,71.0,0.0,0.548882
112.033181,40.906774,9012.72,-1.0,0.0,71.0,0.0,0.572396
112.033293,40.906804,9012.41,-1.0,0.1,71.0,0.0,0.594679
112.033405,40.906833,9012.1,-1.0,0.1,71.0,0.0,0.621687
112.033502,40.906858,9011.83,-1.0,0.1,71.0,0.0,0.645299
112.033585,40.90688,9011.61,-1.0,0.1,71.0,0.0,0.664308
112.033667,40.906901,9011.4,-1.0,0.1,71.0,0.0,0.683459
112.033749,40.906922,9011.18,-1.0,0.2,71.0,0.0,0.702018
112.033832,40.906944,9010.96,-1.0,0.2,71.0,0.0,0.719555
112.033925,40.906968,9010.72,-1.0,0.2,71.0,0.0,0.735819
112.034037,40.906997,9010.44,-1.0,0.3,71.0,0.0,0.751606
112.034149,40.907026,9010.16,-1.0,0.3,71.0,0.0,0.767671
112.03426,40.907055,9009.88,-1.0,0.3,71.0,0.0,0.784254
112.034372,40.907085,9009.6,-1.0,0.4,71.0,0.0,0.803237
112.034484,40.907114,9009.32,-1.0,0.4,71.0,0.0,0.821873
112.034596,40.907143,9009.07,-1.0,0.5,71.0,0.0,0.839086
112.034708,40.907172,9008.81,-1.0,0.5,71.0,0.0,0.85597
112.034821,40.907201,9008.55,-1.0,0.6,71.0,0.0,0.873083
112.034928,40.907229,9008.32,-1.0,0.6,71.0,0.0,0.881253
112.035034,40.907257,9008.1,-1.0,0.7,71.0,0.0,0.888933
112.035141,40.907285,9007.87,-1.0,0.7,71.0,0.0,0.897187
112.035248,40.907313,9007.64,-1.0,0.8,71.0,0.0,0.905803
112.035356,40.907341,9007.42,-1.0,0.8,71.0,0.0,0.913327
112.035468,40.90737,9007.22,-1.0,0.9,71.0,0.0,0.911983
112.03558,40.907399,9007.02,-1.0,0.9,71.0,0.0,0.911654
112.035692,40.907428,9006.82,-1.0,0.9,71.0,0.0,0.913417
112.035804,40.907457,9006.61,-1.0,1.0,71.0,0.0,0.914577
112.035917,40.907487,9006.41,-1.0,1.0,71.0,0.0,0.91575
112.036029,40.907516,9006.21,-1.0,1.1,71.0,0.0,0.91744
112.036146,40.907547,9006.01,-1.0,1.1,71.0,0.0,0.914303
112.036276,40.90758,9005.82,-1.0,1.2,71.0,0.0,0.902015
