经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
112.365013,41.001393,8854.26,0.8,-7.6,67.9,3.743346,0.389817
112.365172,41.001442,8852.04,0.9,-7.6,67.9,4.05348,0.375763
112.365322,41.001488,8849.92,1.1,-7.6,67.9,4.235302,0.36102
112.365473,41.001534,8847.79,1.2,-7.6,67.9,4.417124,0.346139
112.365623,41.001581,8845.67,1.3,-7.6,67.9,4.598946,0.330693
112.365775,41.001627,8843.52,1.4,-7.6,67.9,4.475709,0.317662
112.365927,41.001674,8841.37,1.4,-7.6,67.9,4.350714,0.304311
112.366078,41.00172,8839.22,1.5,-7.6,67.9,4.225718,0.291066
112.36623,41.001767,8837.07,1.5,-7.6,67.9,4.100721,0.281893
112.366374,41.001811,8835.03,1.6,-7.6,67.9,3.935254,0.275086
112.366484,41.001845,8833.46,1.6,-7.6,67.9,3.601919,0.268301
112.366595,41.001879,8831.89,1.7,-7.6,67.9,3.268584,0.261272
112.366705,41.001913,8830.32,1.7,-7.6,67.9,2.935249,0.254135
112.366859,41.00196,8828.14,1.7,-7.6,67.9,2.619923,0.244679
112.367041,41.002016,8825.54,1.7,-7.6,67.9,2.316893,0.23319
112.367223,41.002072,8822.94,1.8,-7.6,67.9,2.013864,0.221915
112.367404,41.002127,8820.37,1.8,-7.6,67.9,1.728667,0.211196
112.367579,41.002181,8817.86,1.8,-7.6,67.9,1.486243,0.201454
112.367755,41.002235,8815.35,1.8,-7.6,67.9,1.243818,0.193197
112.36793,41.002289,8812.84,1.8,-7.6,67.9,1.001394,0.184887
112.368076,41.002334,8810.75,1.8,-7.6,67.9,0.875719,0.179554
112.368222,41.002378,8808.66,1.8,-7.6,67.9,0.750719,0.173815
112.368368,41.002423,8806.57,1.8,-7.6,67.9,0.625719,0.167693
112.368513,41.002468,8804.48,1.8,-7.6,67.9,0.500719,0.161963
112.368654,41.002511,8802.47,1.8,-7.6,67.9,0.389209,0.156244
112.368773,41.002548,8800.76,1.8,-7.6,67.9,0.333653,0.15089
112.368892,41.002584,8799.05,1.8,-7.6,67.9,0.278098,0.145559
112.369011,41.002621,8797.34,1.8,-7.5,67.9,0.222542,0.141045
112.36913,41.002657,8795.63,1.8,-7.5,67.9,0.163985,0.136642
112.369254,41.002695,8793.85,1.8,-7.5,67.9,0.103379,0.132092
112.369421,41.002746,8791.45,1.8,-7.5,67.9,0.042774,0.125323
112.369588,41.002798,8789.04,1.8,-7.5,68.0,0.0,0.119409
112.369755,41.002849,8786.63,1.8,-7.5,68.0,0.0,0.114957
112.369922,41.0029,8784.24,1.8,-7.5,68.0,0.0,0.110185
112.370088,41.002951,8781.84,1.8,-7.5,68.0,0.0,0.105665
112.370254,41.003002,8779.45,1.8,-7.5,68.0,0.0,0.102493
112.37041,41.00305,8777.2,1.8,-7.5,68.0,0.0,0.099053
112.370556,41.003094,8775.1,1.8,-7.5,68.0,0.0,0.09514
112.370702,41.003139,8773.0,1.8,-7.5,68.0,0.0,0.091749
112.370852,41.003185,8770.83,1.8,-7.5,68.0,0.0,0.08821
112.371024,41.003238,8768.35,1.8,-7.5,68.0,0.0,0.084914
112.371196,41.003291,8765.87,1.8,-7.5,68.0,0.0,0.081909
112.371368,41.003343,8763.39,1.8,-7.5,68.0,0.0,0.079011
112.371505,41.003386,8761.4,1.8,-7.5,68.0,0.0,0.075618
112.37162,41.003421,8759.74,1.8,-7.5,68.0,0.0,0.072503
112.371735,41.003456,8758.09,1.8,-7.5,68.0,0.0,0.069145
112.371849,41.003491,8756.43,1.8,-7.5,68.0,0.0,0.0665
112.371964,41.003526,8754.78,1.8,-7.5,68.0,0.0,0.064361
112.372156,41.003585,8752.0,1.8,-7.5,68.0,0.0,0.061323
112.372368,41.00365,8748.93,1.8,-7.5,68.0,0.0,0.058527
112.372581,41.003715,8745.86,1.8,-7.5,68.0,0.0,0.056803
112.372743,41.003765,8743.51,1.8,-7.5,68.0,0.0,0.05499
112.372854,41.003799,8741.91,1.8,-7.5,68.0,0.0,0.053367
112.372965,41.003833,8740.3,1.8,-7.5,68.0,0.0,0.051527
112.373077,41.003867,8738.69,1.8,-7.5,68.0,0.0,0.050013
112.373188,41.003901,8737.08,1.8,-7.5,68.0,0.0,0.049073
112.373324,41.003943,8735.11,1.8,-7.5,68.0,0.0,0.04795
112.373499,41.003996,8732.59,1.8,-7.5,68.0,0.0,0.046092
112.373673,41.00405,8730.06,1.8,-7.5,68.0,0.0,0.04449
112.373849,41.004103,8727.52,1.8,-7.5,68.0,0.0,0.043057
112.374033,41.00416,8724.85,1.8,-7.5,68.0,0.0,0.042706
112.374218,41.004216,8722.18,1.8,-7.5,68.0,0.0,0.042251
112.374402,41.004273,8719.51,1.8,-7.5,68.0,0.0,0.041924
112.374568,41.004323,8717.12,1.8,-7.5,68.0,0.0,0.040891
112.374728,41.004373,8714.8,1.8,-7.5,68.0,0.0,0.039722
112.374888,41.004421,8712.48,1.8,-7.5,68.0,0.0,0.038561
112.375024,41.004463,8710.52,1.8,-7.5,68.0,0.0,0.037676
112.375134,41.004497,8708.92,1.8,-7.5,68.0,0.0,0.037028
112.375245,41.004531,8707.31,1.8,-7.5,68.0,0.0,0.036773
112.375355,41.004565,8705.71,1.8,-7.5,68.0,0.0,0.036482
112.375466,41.004598,8704.11,1.8,-7.5,68.0,0.0,0.036327
