经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
112.299756,40.947707,4314.96,74.6,-38.1,258.4,10.895682,16.037539
112.299686,40.947689,4309.77,74.4,-38.0,258.9,10.617556,15.988357
112.299615,40.947671,4304.58,74.1,-38.0,259.4,10.33954,15.985324
112.299545,40.947654,4299.39,73.9,-37.9,259.9,10.251185,16.032497
112.299475,40.947636,4294.2,73.6,-37.8,260.4,10.212007,16.073796
112.299357,40.947611,4285.71,73.2,-37.7,261.2,10.449315,16.046641
112.299238,40.947586,4277.19,72.8,-37.6,261.9,10.688153,16.097962
112.29912,40.947561,4268.68,72.4,-37.4,262.7,10.927046,16.23604
112.299009,40.947541,4260.82,72.1,-37.3,263.4,10.831642,16.257704
112.298902,40.947522,4253.25,71.7,-37.1,264.1,10.589252,16.240518
112.298794,40.947503,4245.68,71.4,-37.0,264.8,10.346862,16.242421
112.298695,40.947486,4238.76,71.1,-36.9,265.4,10.081906,16.179269
112.298608,40.947474,4232.81,70.8,-36.7,265.9,9.782415,15.980716
112.298522,40.947462,4226.87,70.5,-36.6,266.5,9.48298,15.86042
112.298435,40.94745,4220.92,70.3,-36.5,267.0,9.215455,15.792315
112.298349,40.947438,4214.97,70.0,-36.4,267.5,9.254688,15.850847
112.298252,40.947426,4208.38,69.7,-36.3,268.1,9.346376,15.882366
112.29813,40.947414,4200.23,69.3,-36.1,268.8,9.563849,15.886106
112.298009,40.947401,4192.08,69.0,-36.0,269.6,9.781323,16.008355
112.297887,40.947389,4183.94,68.6,-35.8,270.3,9.998796,16.169087
112.297772,40.94738,4176.37,68.3,-35.6,271.0,9.819189,16.210168
112.297657,40.947372,4168.81,68.0,-35.4,271.6,9.637397,16.263782
112.297542,40.947364,4161.25,67.7,-35.3,272.3,9.45555,16.330229
112.297444,40.947359,4154.95,67.4,-35.1,272.9,9.263868,16.251457
112.297355,40.947356,4149.2,67.2,-35.0,273.4,9.067759,16.093604
112.297265,40.947353,4143.45,67.0,-34.8,273.9,8.871651,15.921524
112.297176,40.947349,4137.7,66.7,-34.7,274.4,8.722042,15.782906
112.297087,40.947346,4131.95,66.5,-34.6,274.9,8.643577,15.708174
112.296981,40.947344,4125.26,66.2,-34.4,275.5,8.645653,15.666679
112.296864,40.947344,4117.92,65.9,-34.2,276.1,8.702699,15.660833
112.296747,40.947343,4110.59,65.6,-34.0,276.8,8.759745,15.81675
112.296627,40.947344,4103.04,65.3,-33.8,277.4,8.764335,15.920779
112.296496,40.947347,4094.99,65.0,-33.6,278.1,8.643085,15.912067
112.296365,40.947351,4086.94,64.7,-33.3,278.8,8.52189,15.933097
112.296234,40.947354,4078.89,64.4,-33.1,279.5,8.400641,15.983536
112.296104,40.947362,4071.04,64.1,-32.9,280.2,8.399985,15.833163
112.295973,40.947369,4063.19,63.8,-32.7,280.8,8.399985,15.760404
112.295843,40.947377,4055.34,63.5,-32.5,281.5,8.399985,15.761846
112.295744,40.947384,4049.45,63.3,-32.3,282.0,8.318296,15.741718
112.295659,40.947392,4044.42,63.1,-32.1,282.5,8.200653,15.706855
