经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
113.058982,40.799834,7017.76,-13.4,1.3,101.7,20.127038,0.399585
113.059093,40.799817,7017.78,-14.3,1.3,101.7,21.532253,0.416067
113.059204,40.799799,7017.79,-15.3,1.3,101.6,22.937469,0.439621
113.059315,40.799782,7017.81,-16.3,1.3,101.6,24.082154,0.462928
113.059426,40.799764,7017.83,-17.3,1.3,101.6,24.952047,0.485947
113.059563,40.799742,7017.85,-18.6,1.3,101.6,26.518401,0.515351
113.059701,40.799721,7017.87,-19.9,1.2,101.5,28.072241,0.544864
113.059839,40.799699,7017.89,-21.3,1.2,101.5,29.530569,0.575155
113.05999,40.799675,7017.91,-22.8,1.2,101.5,31.321827,0.603559
113.060147,40.79965,7017.93,-24.4,1.2,101.4,33.264988,0.63186
113.060305,40.799626,7017.95,-25.9,1.2,101.3,35.208204,0.661049
113.060439,40.799605,7017.96,-27.3,1.2,101.3,36.314531,0.686263
113.060536,40.79959,7017.97,-28.3,1.2,101.3,36.093506,0.703701
113.060632,40.799575,7017.97,-29.2,1.2,101.3,35.872481,0.721039
113.060729,40.79956,7017.98,-30.2,1.1,101.2,35.670581,0.738389
113.060825,40.799545,7017.99,-31.2,1.1,101.2,35.670581,0.756383
113.060935,40.799528,7017.99,-32.3,1.1,101.2,35.942477,0.777569
113.061076,40.799506,7017.99,-33.8,1.1,101.2,36.890781,0.806552
113.061218,40.799484,7018.0,-35.2,1.0,101.1,37.839084,0.835862
113.061359,40.799462,7018.0,-36.7,1.0,101.1,38.787388,0.865127
113.0615,40.79944,7017.99,-38.1,1.0,101.0,39.03923,0.894851
113.061641,40.799419,7017.98,-39.6,0.9,101.0,39.28162,0.924998
113.061781,40.799397,7017.97,-41.0,0.9,100.9,39.524064,0.956917
113.061934,40.799374,7017.95,-42.6,0.9,100.9,39.683235,0.983278
113.062093,40.79935,7017.92,-44.3,0.8,100.8,39.804485,1.008594
113.062251,40.799326,7017.89,-45.9,0.8,100.8,39.92568,1.035536
113.062385,40.799306,7017.86,-47.3,0.8,100.8,40.015182,1.057993
113.062479,40.799292,7017.83,-48.3,0.7,100.8,40.054415,1.071185
113.062574,40.799278,7017.8,-49.3,0.7,100.8,40.093593,1.08383
113.062668,40.799263,7017.77,-50.3,0.7,100.7,40.132826,1.096492
113.062762,40.799249,7017.74,-51.3,0.6,100.7,40.172003,1.112784
113.062871,40.799233,7017.7,-52.4,0.6,100.7,40.217356,1.130671
113.063016,40.799211,7017.63,-53.9,0.6,100.7,40.277953,1.153613
113.06316,40.79919,7017.57,-55.4,0.5,100.6,40.338605,1.177468
113.063305,40.799169,7017.5,-56.9,0.5,100.6,40.399203,1.202246
113.063467,40.799145,7017.4,-58.6,0.4,100.5,40.878354,1.212167
113.063628,40.799121,7017.29,-60.3,0.4,100.5,41.363243,1.224063
113.06379,40.799097,7017.18,-62.0,0.3,100.4,41.848077,1.238592
113.063933,40.799076,7017.07,-63.5,0.3,100.4,41.66705,1.245111
113.064067,40.799057,7016.96,-64.9,0.2,100.3,41.182216,1.247915
113.0642,40.799037,7016.84,-66.2,0.1,100.3,40.697382,1.265067
113.064319,40.79902,7016.73,-67.5,0.1,100.3,40.399968,1.282813
113.064414,40.799006,7016.63,-68.5,0.0,100.3,40.399968,1.298872
113.064509,40.798993,7016.53,-69.5,0.0,100.3,40.399968,1.316372
