经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
113.027402,41.210683,3528.11,63.5,42.9,101.2,11.849818,9.814807
113.027523,41.21067,3537.06,64.0,43.0,101.8,12.068534,9.808986
113.027643,41.210657,3546.0,64.5,43.1,102.3,12.287237,9.867649
113.02774,41.210646,3553.28,65.0,43.2,102.8,12.400004,9.897628
113.027813,41.210636,3558.8,65.3,43.3,103.1,12.400004,9.876705
113.027886,41.210626,3564.33,65.6,43.4,103.4,12.39999,9.923831
113.027958,41.210617,3569.85,66.0,43.5,103.8,12.344119,9.966038
113.028031,41.210607,3575.37,66.3,43.6,104.1,12.041091,10.033903
113.028121,41.210594,3582.28,66.7,43.7,104.5,11.862495,10.044229
113.028218,41.210579,3589.82,67.1,43.8,105.0,11.741286,10.035124
113.028316,41.210564,3597.37,67.5,43.9,105.5,11.853397,10.029854
113.028411,41.210549,3604.78,68.0,44.0,106.0,12.011516,10.017945
113.028501,41.210533,3611.97,68.4,44.1,106.4,12.194524,9.991161
113.028592,41.210518,3619.15,68.9,44.2,106.9,12.377532,9.965382
113.028683,41.210502,3626.34,69.3,44.3,107.3,12.560527,9.940635
113.028777,41.210484,3633.83,69.7,44.4,107.8,12.457377,9.880502
113.028871,41.210466,3641.4,70.2,44.5,108.3,12.275557,9.81298
113.028965,41.210447,3648.98,70.6,44.6,108.8,12.093752,9.748356
113.029052,41.210429,3656.07,71.0,44.6,109.2,12.060543,9.690107
113.029132,41.210412,3662.66,71.4,44.7,109.6,12.185549,9.637293
113.029212,41.210394,3669.24,71.8,44.8,110.0,12.310542,9.668276
113.029292,41.210377,3675.83,72.2,44.8,110.5,12.435548,9.690318
113.029373,41.210359,3682.41,72.6,44.9,110.9,12.560554,9.681648
113.029465,41.210337,3690.16,73.0,44.9,111.4,12.641492,9.569194
113.029564,41.210313,3698.44,73.5,45.0,111.9,12.702089,9.416762
113.029663,41.210289,3706.72,73.9,45.1,112.4,12.762687,9.373345
113.029752,41.210266,3714.28,74.3,45.1,112.8,12.699521,9.322742
113.029827,41.210246,3720.69,74.6,45.1,113.2,12.438075,9.223596
113.029902,41.210226,3727.09,74.9,45.1,113.6,12.176643,9.174757
113.029976,41.210206,3733.49,75.3,45.2,114.0,11.915197,9.155284
113.030051,41.210185,3739.9,75.6,45.2,114.3,11.685456,9.113083
113.030129,41.210163,3746.63,75.9,45.2,114.7,11.458339,9.024653
113.030216,41.210138,3754.2,76.2,45.2,115.1,11.215922,8.858209
113.030302,41.210112,3761.77,76.5,45.3,115.5,11.001003,8.751333
113.030389,41.210086,3769.34,76.8,45.3,115.9,10.8154,8.71695
113.030493,41.210053,3778.57,77.2,45.4,116.4,10.808761,8.627976
113.030597,41.21002,3787.82,77.6,45.4,116.9,10.804977,8.550579
113.030701,41.209986,3797.07,78.0,45.5,117.3,10.801193,8.485309
113.03079,41.209956,3805.09,78.3,45.5,117.8,10.592599,8.352935
113.030873,41.209928,3812.54,78.6,45.5,118.2,10.289584,8.187808
113.030955,41.209899,3819.99,78.9,45.5,118.6,9.986556,8.024933
113.031033,41.209872,3827.09,79.2,45.5,118.9,9.75101,7.862652
113.031104,41.209846,3833.62,79.4,45.5,119.3,9.623559,7.697696
113.031175,41.20982,3840.15,79.7,45.6,119.7,9.496108,7.549203
113.031246,41.209794,3846.68,79.9,45.6,120.0,9.368656,7.408358
113.031318,41.209767,3853.29,80.2,45.6,120.3,9.241205,7.236082
113.031389,41.209739,3859.92,80.4,45.6,120.7,9.119833,7.050026
113.03146,41.209711,3866.55,80.7,45.6,121.0,9.013787,6.856735
113.031531,41.209683,3873.18,80.9,45.6,121.3,8.907728,6.6919
113.031602,41.209656,3879.81,81.2,45.6,121.6,8.801655,6.559859
113.031697,41.209616,3888.84,81.4,45.6,121.9,8.442059,6.330812
113.031793,41.209576,3897.91,81.6,45.5,122.2,8.078434,6.109881
113.031888,41.209536,3906.99,81.8,45.5,122.5,7.714794,5.898623
113.031956,41.209508,3913.46,81.9,45.5,122.7,7.265764,5.689841
113.032011,41.209483,3918.74,82.0,45.5,122.7,6.777351,5.472713
113.032066,41.20946,3924.01,82.1,45.4,122.8,6.288924,5.253177
113.032121,41.209435,3929.29,82.1,45.4,122.9,5.841273,5.058552
113.032176,41.209412,3934.57,82.2,45.4,123.0,5.458919,4.911868
113.032254,41.209377,3942.03,82.2,45.4,123.0,5.078655,4.7173
113.032347,41.209335,3951.06,82.3,45.4,123.0,4.699867,4.496211
113.03244,41.209292,3960.09,82.4,45.3,123.1,4.321092,4.282577
113.032528,41.209253,3968.53,82.4,45.3,123.1,3.925064,4.078723
113.032599,41.20922,3975.5,82.4,45.3,123.1,3.485664,3.883062
113.032671,41.209187,3982.46,82.5,45.2,123.2,3.046278,3.686668
113.032743,41.209153,3989.43,82.5,45.2,123.2,2.606878,3.48971
113.032831,41.209112,3997.96,82.5,45.2,123.2,2.242051,3.271428
113.032919,41.209071,4006.51,82.6,45.1,123.2,1.878425,3.053304
113.033007,41.20903,4015.06,82.6,45.1,123.2,1.514786,2.836154
113.033072,41.208999,4021.38,82.6,45.1,123.2,1.319483,2.673766
113.033126,41.208973,4026.67,82.6,45.0,123.2,1.20184,2.534593
113.033181,41.208947,4031.96,82.6,45.0,123.3,1.084197,2.393666
113.033235,41.208921,4037.25,82.6,45.0,123.3,0.966554,2.267293
113.03329,41.208896,4042.54,82.6,44.9,123.3,0.848911,2.166204
113.033365,41.20886,4049.8,82.6,44.9,123.3,0.764585,2.050027
113.033454,41.208817,4058.46,82.6,44.9,123.3,0.703988,1.928435
113.033543,41.208774,4067.12,82.7,44.8,123.3,0.643376,1.835699
113.033628,41.208734,4075.35,82.7,44.8,123.3,0.600005,1.753942
113.033702,41.208698,4082.49,82.7,44.8,123.3,0.600005,1.67422
113.033776,41.208663,4089.62,82.8,44.7,123.3,0.600005,1.598299
113.033849,41.208627,4096.76,82.8,44.7,123.3,0.600005,1.526617
113.033915,41.208595,4103.05,82.8,44.7,123.3,0.578954,1.459005
113.03398,41.208564,4109.32,82.8,44.6,123.3,0.557562,1.393338
113.034045,41.208532,4115.6,82.9,44.6,123.4,0.53617,1.335337
113.03411,41.208501,4121.88,82.9,44.5,123.4,0.556251,1.308894
113.034175,41.208469,4128.15,82.9,44.5,123.4,0.59547,1.29764
113.03425,41.208433,4135.39,82.9,44.5,123.4,0.653594,1.278162
113.034327,41.208395,4142.76,83.0,44.4,123.4,0.714206,1.259891
113.034404,41.208358,4150.13,83.0,44.4,123.4,0.774817,1.244226
113.034488,41.208317,4158.23,83.0,44.4,123.4,0.764599,1.225352
113.034578,41.208273,4166.86,83.0,44.3,123.4,0.703988,1.20454
113.034669,41.208229,4175.49,83.0,44.2,123.4,0.643376,1.185964
113.034756,41.208186,4183.82,83.0,44.2,123.4,0.600005,1.171373
113.034836,41.208147,4191.43,83.0,44.2,123.4,0.600005,1.162974
113.034915,41.208108,4199.03,83.1,44.1,123.4,0.599991,1.15613
113.034995,41.208069,4206.64,83.1,44.1,123.4,0.599991,1.151054
113.035071,41.208033,4213.79,83.1,44.1,123.4,0.621042,1.138997
113.035146,41.207996,4220.94,83.2,44.0,123.5,0.642434,1.129407
113.035221,41.207959,4228.08,83.2,44.0,123.5,0.663826,1.129042
113.035288,41.207926,4234.42,83.2,44.0,123.5,0.670574,1.131798
113.035351,41.207895,4240.39,83.2,43.9,123.5,0.670574,1.135718
113.035415,41.207864,4246.36,83.3,43.9,123.5,0.651668,1.140077
113.035478,41.207833,4252.33,83.3,43.9,123.5,0.630276,1.144796
113.035541,41.207802,4258.3,83.3,43.8,123.5,0.608884,1.149757
113.035604,41.207771,4264.24,83.3,43.8,123.5,0.599991,1.149773
113.035667,41.20774,4270.16,83.3,43.8,123.5,0.599991,1.145732
113.03573,41.207709,4276.07,83.3,43.7,123.5,0.599991,1.140707
113.035794,41.207678,4282.16,83.3,43.7,123.5,0.593912,1.134711
113.035864,41.207643,4288.66,83.3,43.6,123.5,0.57252,1.127908
113.035933,41.207609,4295.17,83.3,43.6,123.5,0.551142,1.126168
113.036003,41.207575,4301.67,83.4,43.6,123.5,0.529749,1.129348
113.036072,41.207541,4308.17,83.4,43.5,123.5,0.508357,1.139193
113.036143,41.207506,4314.83,83.4,43.5,123.5,0.490913,1.146641
113.036222,41.207467,4322.18,83.4,43.5,123.5,0.490913,1.144867
113.036301,41.207428,4329.53,83.5,43.4,123.5,0.505557,1.143906
113.036381,41.207389,4336.87,83.5,43.4,123.5,0.526949,1.143276
113.03646,41.20735,4344.22,83.5,43.4,123.6,0.548328,1.146151
113.036539,41.207311,4351.57,83.6,43.3,123.6,0.56972,1.149849
113.036618,41.207272,4358.92,83.6,43.3,123.6,0.591112,1.154425
113.036693,41.207235,4365.91,83.6,43.3,123.6,0.600005,1.151904
113.036766,41.207199,4372.66,83.6,43.3,123.6,0.600005,1.143832
113.036839,41.207163,4379.41,83.6,43.2,123.6,0.600005,1.141488
113.036909,41.207129,4385.87,83.6,43.2,123.6,0.600005,1.139864
113.036972,41.207098,4391.59,83.6,43.1,123.6,0.600005,1.136619
113.037034,41.207067,4397.31,83.6,43.1,123.6,0.600005,1.138083
113.037096,41.207036,4403.03,83.7,43.1,123.6,0.600005,1.143777
113.037158,41.207006,4408.75,83.7,43.0,123.6,0.600005,1.153568
113.037225,41.206972,4414.9,83.7,43.0,123.6,0.600005,1.160152
113.037313,41.206929,4422.9,83.7,42.9,123.6,0.600005,1.159282
113.037401,41.206886,4430.91,83.8,42.9,123.6,0.600005,1.16542
113.037488,41.206843,4438.92,83.8,42.8,123.6,0.600005,1.17548
113.037558,41.206808,4445.32,83.8,42.8,123.6,0.600005,1.175937
113.037626,41.206774,4451.5,83.9,42.7,123.7,0.599991,1.1752
113.037694,41.206741,4457.68,83.9,42.7,123.7,0.599991,1.175258
113.03776,41.206708,4463.69,83.9,42.7,123.7,0.599991,1.172826
113.037825,41.206676,4469.58,83.9,42.6,123.7,0.599991,1.169072
113.037891,41.206643,4475.48,83.9,42.6,123.7,0.599991,1.172341
113.037956,41.206611,4481.37,83.9,42.6,123.7,0.588844,1.178275
113.038021,41.206579,4487.26,83.9,42.5,123.7,0.549625,1.186186
113.038095,41.206542,4493.99,83.9,42.5,123.7,0.539763,1.188783
113.03818,41.2065,4501.61,83.9,42.5,123.7,0.561155,1.186597
113.038264,41.206458,4509.23,84.0,42.4,123.7,0.582547,1.186842
113.038348,41.206417,4516.72,84.0,42.4,123.7,0.599991,1.187484
113.038425,41.206379,4523.64,84.0,42.4,123.7,0.599991,1.183893
113.038502,41.20634,4530.56,84.1,42.3,123.7,0.599991,1.189988
113.038579,41.206302,4537.48,84.1,42.3,123.7,0.599991,1.19985
113.038645,41.206269,4543.35,84.1,42.3,123.7,0.581085,1.199923
113.038709,41.206238,4549.09,84.1,42.2,123.7,0.559693,1.19682
113.038774,41.206206,4554.82,84.2,42.2,123.8,0.538301,1.191804
113.038838,41.206174,4560.56,84.2,42.1,123.8,0.55233,1.191587
113.038902,41.206142,4566.29,84.2,42.1,123.8,0.591549,1.194913
113.038974,41.206106,4572.66,84.2,42.1,123.8,0.600005,1.189884
113.039048,41.206069,4579.2,84.2,42.0,123.8,0.600005,1.18672
113.039121,41.206033,4585.75,84.2,42.0,123.8,0.600005,1.193495
113.039206,41.205991,4593.19,84.2,42.0,123.8,0.600005,1.195533
113.039301,41.205943,4601.58,84.2,41.9,123.8,0.600005,1.19336
113.039396,41.205896,4609.98,84.3,41.8,123.8,0.600005,1.211415
113.039487,41.205851,4618.04,84.3,41.8,123.8,0.596521,1.227199
113.039562,41.205814,4624.58,84.3,41.8,123.8,0.577574,1.229198
113.039637,41.205776,4631.13,84.3,41.7,123.8,0.558628,1.226921
113.039711,41.205739,4637.67,84.4,41.7,123.8,0.539708,1.223051
113.039786,41.205702,4644.22,84.4,41.6,123.8,0.539681,1.228901
113.039854,41.205668,4650.19,84.4,41.6,123.8,0.547467,1.233673
113.039912,41.205639,4655.25,84.4,41.6,123.8,0.563805,1.233337
113.03997,41.20561,4660.31,84.5,41.5,123.8,0.580143,1.235311
113.040028,41.205582,4665.37,84.5,41.5,123.8,0.59648,1.239156
113.040098,41.205547,4671.43,84.5,41.5,123.8,0.63268,1.235434
113.040171,41.20551,4677.77,84.5,41.4,123.8,0.674345,1.233051
113.040244,41.205474,4684.11,84.6,41.4,123.9,0.716009,1.237655
113.040317,41.205438,4690.45,84.6,41.3,123.9,0.728344,1.242353
113.04039,41.205401,4696.79,84.6,41.3,123.9,0.709397,1.246517
113.04045,41.205371,4702.0,84.6,41.3,123.9,0.649442,1.24
113.04051,41.205341,4707.19,84.6,41.2,123.9,0.592328,1.233851
113.04057,41.205311,4712.38,84.6,41.2,123.9,0.550664,1.233257
113.040652,41.20527,4719.39,84.6,41.2,123.9,0.550472,1.225856
113.040743,41.205225,4727.24,84.7,41.1,123.9,0.569392,1.216903
113.040835,41.205179,4735.09,84.7,41.0,123.9,0.588339,1.23046
113.040915,41.205139,4742.0,84.7,41.0,123.9,0.593721,1.243368
113.040978,41.205107,4747.42,84.7,40.9,123.9,0.577383,1.248003
113.041042,41.205075,4752.83,84.7,40.9,123.9,0.561032,1.251853
113.041105,41.205044,4758.25,84.8,40.9,123.9,0.544708,1.25508
113.041169,41.205012,4763.66,84.8,40.8,123.9,0.539243,1.259347
113.041234,41.20498,4769.19,84.8,40.8,123.9,0.542877,1.263122
113.041302,41.204946,4775.01,84.8,40.8,123.9,0.561824,1.265497
113.04137,41.204911,4780.82,84.9,40.7,123.9,0.580744,1.267335
113.041439,41.204877,4786.64,84.9,40.7,123.9,0.599691,1.267647
113.041549,41.204822,4795.91,84.9,40.6,123.9,0.659646,1.257053
113.041659,41.204767,4805.24,85.0,40.6,124.0,0.720243,1.251164
113.041769,41.204712,4814.57,85.0,40.5,124.0,0.780855,1.25905
113.041852,41.20467,4821.56,85.0,40.5,124.0,0.799993,1.259587
113.041923,41.204635,4827.47,85.1,40.4,124.0,0.799993,1.256001
113.041993,41.2046,4833.38,85.1,40.4,124.0,0.799993,1.252603
113.042061,41.204566,4839.07,85.1,40.4,124.0,0.784925,1.249521
113.042125,41.204534,4844.41,85.1,40.3,124.0,0.745706,1.24706
113.042188,41.204502,4849.74,85.1,40.3,124.0,0.706501,1.252204
113.042252,41.20447,4855.08,85.1,40.3,124.0,0.667282,1.262188
113.042316,41.204438,4860.41,85.1,40.2,124.0,0.628077,1.271749
113.042384,41.204404,4866.07,85.1,40.2,124.0,0.600005,1.276578
