经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
113.009216,41.185178,8539.38,90.1,-6.5,272.7,17.999352,3.627061
113.009112,41.185185,8538.2,90.3,-6.5,272.7,16.668995,3.574189
113.009035,41.185189,8537.31,90.5,-6.5,272.7,15.499639,3.529336
113.008959,41.185194,8536.42,90.6,-6.6,272.6,14.330311,3.50123
113.008883,41.185199,8535.53,90.7,-6.6,272.6,13.160969,3.488876
113.0088,41.185204,8534.53,90.8,-6.7,272.6,11.946069,3.468685
113.008716,41.185209,8533.52,90.9,-6.7,272.6,10.744748,3.454715
113.008633,41.185213,8532.51,91.0,-6.8,272.6,9.607481,3.474155
113.008549,41.185218,8531.51,91.1,-6.8,272.6,8.470241,3.489964
113.008466,41.185223,8530.5,91.2,-6.9,272.6,7.332987,3.502578
113.008379,41.185228,8529.41,91.3,-7.0,272.6,6.39721,3.49667
113.008291,41.185232,8528.31,91.3,-7.0,272.6,5.488125,3.489522
113.008203,41.185237,8527.22,91.4,-7.1,272.6,4.579027,3.482785
113.008124,41.185241,8526.2,91.4,-7.1,272.6,3.892361,3.487415
113.00805,41.185245,8525.25,91.5,-7.2,272.5,3.364729,3.498514
113.007976,41.185249,8524.29,91.5,-7.3,272.5,2.83711,3.507824
113.007901,41.185253,8523.34,91.5,-7.3,272.5,2.412409,3.525334
113.007827,41.185257,8522.38,91.6,-7.4,272.4,2.248416,3.566398
113.007748,41.18526,8521.35,91.6,-7.4,272.4,2.105078,3.638643
113.007664,41.185265,8520.23,91.7,-7.5,272.4,1.983869,3.741712
113.00758,41.185269,8519.11,91.8,-7.6,272.3,1.908205,3.841236
113.007487,41.185273,8517.87,91.8,-7.6,272.3,1.844452,3.935508
113.00736,41.185279,8516.13,91.9,-7.7,272.0,1.83019,4.026205
113.007233,41.185284,8514.39,92.0,-7.8,271.8,1.815929,4.128774
113.007105,41.18529,8512.64,92.1,-7.9,271.5,1.801667,4.243505
113.00702,41.185293,8511.45,92.2,-8.0,271.3,1.853508,4.337383
113.00694,41.185296,8510.32,92.3,-8.0,271.0,1.91412,4.427177
113.00686,41.185299,8509.2,92.4,-8.1,270.8,1.974731,4.516173
113.006783,41.185302,8508.09,92.4,-8.1,270.5,2.045724,4.592955
113.006707,41.185305,8507.0,92.5,-8.2,270.2,2.124162,4.658986
113.006631,41.185307,8505.91,92.6,-8.3,269.9,2.202586,4.7482
113.006556,41.18531,8504.82,92.7,-8.3,269.6,2.281024,4.850444
113.00648,41.185312,8503.72,92.8,-8.4,269.3,2.359448,4.976361
113.006394,41.185314,8502.46,92.9,-8.4,268.9,2.45854,5.115289
113.006296,41.185317,8501.02,93.0,-8.5,268.5,2.579762,5.269223
113.006198,41.185319,8499.57,93.1,-8.6,268.1,2.700985,5.430824
113.006097,41.185321,8498.07,93.2,-8.6,267.7,2.811101,5.581264
113.005982,41.185323,8496.31,93.3,-8.7,267.2,2.871712,5.68823
113.005866,41.185325,8494.55,93.5,-8.8,266.7,2.932309,5.805332
113.00575,41.185326,8492.79,93.6,-8.9,266.3,2.992907,5.932449
113.005669,41.185327,8491.55,93.7,-8.9,265.9,2.999997,6.006206
113.005594,41.185327,8490.38,93.8,-9.0,265.6,2.999997,6.08596
113.005518,41.185328,8489.2,93.9,-9.0,265.2,2.999997,6.187182
113.005442,41.185327,8488.01,93.9,-9.0,264.9,2.999997,6.267211
113.005366,41.185327,8486.82,94.0,-9.1,264.6,2.999997,6.332068
