经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
112.214364,41.02929,9306.58,-11.4,31.5,345.6,0.690942,3.110372
112.214341,41.029363,9310.82,-11.5,31.5,345.5,0.831097,3.060397
112.214317,41.029435,9315.06,-11.6,31.6,345.5,0.971253,3.012652
112.214291,41.029517,9319.9,-11.7,31.6,345.5,1.289048,2.930225
112.214264,41.029601,9324.89,-11.9,31.7,345.4,1.652687,2.841486
112.214236,41.029686,9329.88,-12.1,31.7,345.4,2.016326,2.755747
112.214215,41.029751,9333.8,-12.3,31.7,345.4,2.344667,2.680147
112.2142,41.029798,9336.62,-12.5,31.7,345.4,2.636999,2.609641
112.214184,41.029845,9339.44,-12.6,31.7,345.4,2.929332,2.549007
112.214169,41.029892,9342.27,-12.8,31.8,345.3,3.225871,2.49565
112.214154,41.029939,9345.09,-13.0,31.8,345.3,3.539568,2.465167
112.214135,41.029997,9348.57,-13.3,31.8,345.3,4.049045,2.424678
112.21411,41.030071,9353.06,-13.7,31.8,345.3,4.858341,2.373545
112.214086,41.030144,9357.55,-14.1,31.9,345.2,5.667582,2.340376
112.214062,41.030218,9362.04,-14.6,31.9,345.2,6.492067,2.318584
112.214038,41.030291,9366.52,-15.1,31.9,345.1,7.46179,2.277038
112.214013,41.030364,9371.01,-15.7,32.0,345.1,8.431459,2.239535
112.213989,41.030437,9375.5,-16.3,32.0,345.0,9.401127,2.205916
112.21397,41.030494,9379.05,-16.8,32.0,345.0,10.090266,2.159086
112.213952,41.030547,9382.36,-17.3,32.0,344.9,10.707059,2.107108
112.213934,41.030601,9385.67,-17.8,32.1,344.8,11.323798,2.067975
112.213916,41.030654,9388.97,-18.3,32.1,344.8,11.945837,2.035877
112.213898,41.030707,9392.28,-18.8,32.1,344.7,12.57334,2.01007
112.213874,41.030779,9396.75,-19.4,32.1,344.7,13.614534,1.974044
112.213847,41.030858,9401.73,-20.2,32.2,344.6,14.837302,1.941497
112.21382,41.030937,9406.72,-21.0,32.2,344.5,16.060124,1.936239
112.213794,41.031012,9411.42,-21.8,32.2,344.5,17.039355,1.926684
112.213771,41.03108,9415.71,-22.5,32.2,344.4,17.645439,1.907285
112.213747,41.031147,9419.99,-23.2,32.2,344.3,18.251468,1.890853
112.213724,41.031216,9424.33,-24.0,32.2,344.2,18.846077,1.875684
112.213697,41.031293,9429.23,-24.8,32.2,344.1,19.330911,1.846005
112.21367,41.031369,9434.12,-25.6,32.3,344.0,19.815745,1.823115
112.213643,41.031446,9439.02,-26.4,32.3,343.9,20.300579,1.811895
112.213624,41.0315,9442.45,-27.0,32.3,343.9,20.431172,1.795487
112.213607,41.031547,9445.51,-27.5,32.3,343.8,20.470405,1.775336
112.213591,41.031595,9448.57,-28.0,32.3,343.7,20.509637,1.761865
112.213574,41.031642,9451.63,-28.5,32.3,343.7,20.548815,1.760475
112.213557,41.03169,9454.69,-29.0,32.3,343.6,20.588048,1.772748
112.213533,41.031757,9459.04,-29.8,32.3,343.5,20.684272,1.779865
112.213505,41.031834,9463.96,-30.6,32.3,343.4,20.805467,1.787589
112.213478,41.03191,9468.88,-31.5,32.3,343.3,20.926716,1.798529
112.213451,41.031984,9473.67,-32.3,32.3,343.2,21.047911,1.800733
112.213425,41.032054,9478.25,-33.1,32.3,343.1,21.169106,1.78774
112.213399,41.032125,9482.84,-33.9,32.3,343.0,21.290301,1.777014
112.213374,41.032193,9487.29,-34.6,32.3,342.9,21.341445,1.768199
112.213357,41.032241,9490.41,-35.2,32.3,342.8,20.724706,1.755188
112.213339,41.032289,9493.53,-35.7,32.3,342.8,20.107913,1.745324
112.213321,41.032336,9496.66,-36.2,32.3,342.7,19.491174,1.74396
112.213303,41.032384,9499.78,-36.7,32.3,342.7,19.364679,1.753641
112.213286,41.032432,9502.9,-37.2,32.3,342.6,19.364679,1.765805
