经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
112.761323,41.137237,8226.83,-44.7,-2.8,56.9,0.199988,0.71044
112.76151,41.137326,8225.62,-44.7,-2.8,56.8,0.199988,0.710706
112.761697,41.137416,8224.41,-44.7,-2.8,56.8,0.199988,0.712862
112.761852,41.137491,8223.39,-44.7,-2.8,56.8,0.231024,0.71374
112.761999,41.137562,8222.42,-44.7,-2.8,56.8,0.270257,0.714437
112.762147,41.137633,8221.45,-44.8,-2.9,56.7,0.309435,0.716316
112.762294,41.137703,8220.47,-44.8,-2.9,56.7,0.336974,0.716816
112.762441,41.137774,8219.5,-44.8,-2.9,56.7,0.352383,0.715415
112.762604,41.137853,8218.41,-44.8,-2.9,56.7,0.340635,0.708974
112.762775,41.137936,8217.26,-44.8,-3.0,56.7,0.316866,0.70028
112.762946,41.138018,8216.11,-44.8,-3.0,56.7,0.293042,0.702587
112.763126,41.138105,8214.89,-44.8,-3.0,56.7,0.269219,0.704107
112.76332,41.138199,8213.56,-44.8,-3.0,56.7,0.245395,0.702586
112.763514,41.138293,8212.24,-44.8,-3.0,56.6,0.221626,0.707342
112.763702,41.138384,8210.95,-44.8,-3.0,56.6,0.199988,0.715482
112.763831,41.138447,8210.05,-44.8,-3.0,56.6,0.199988,0.717742
112.763959,41.138509,8209.16,-44.8,-3.0,56.6,0.199988,0.718219
112.764088,41.138571,8208.27,-44.8,-3.1,56.6,0.199988,0.716261
112.764217,41.138634,8207.37,-44.8,-3.1,56.6,0.168952,0.717279
112.764346,41.138697,8206.48,-44.8,-3.1,56.6,0.129719,0.718892
112.764533,41.138788,8205.15,-44.8,-3.1,56.6,0.150647,0.718318
112.764721,41.138879,8203.82,-44.9,-3.2,56.5,0.172011,0.719945
112.764908,41.13897,8202.49,-44.9,-3.2,56.5,0.193376,0.723707
112.765057,41.139043,8201.43,-44.9,-3.2,56.5,0.199988,0.723241
112.765188,41.139107,8200.49,-44.9,-3.2,56.5,0.199988,0.720947
112.765319,41.139171,8199.55,-44.9,-3.2,56.4,0.199988,0.718234
112.76545,41.139234,8198.61,-44.9,-3.2,56.4,0.199988,0.715412
112.765581,41.139298,8197.66,-44.9,-3.2,56.4,0.199988,0.712319
112.76574,41.139376,8196.51,-44.9,-3.2,56.4,0.199988,0.709503
112.765918,41.139463,8195.21,-44.9,-3.2,56.4,0.199988,0.707484
112.766096,41.139551,8193.9,-44.9,-3.3,56.3,0.199988,0.70789
112.766273,41.139637,8192.61,-44.9,-3.3,56.3,0.199988,0.708379
112.766446,41.139722,8191.32,-44.9,-3.3,56.3,0.199988,0.708945
112.766619,41.139807,8190.04,-44.9,-3.4,56.3,0.199988,0.714312
112.766793,41.139892,8188.76,-44.9,-3.4,56.3,0.199988,0.720749
112.766938,41.139963,8187.67,-44.9,-3.4,56.3,0.178787,0.720825
112.767083,41.140034,8186.57,-44.9,-3.4,56.3,0.157368,0.720714
112.767227,41.140106,8185.48,-45.0,-3.4,56.2,0.136003,0.720236
112.767372,41.140177,8184.39,-45.0,-3.4,56.2,0.156548,0.72217
112.767517,41.140248,8183.3,-45.0,-3.4,56.2,0.195726,0.724925
112.767668,41.140323,8182.14,-45.0,-3.4,56.2,0.199988,0.72241
112.76782,41.140398,8180.98,-45.0,-3.5,56.2,0.199988,0.719539
112.767973,41.140473,8179.81,-45.0,-3.5,56.2,0.199988,0.717357
112.768167,41.140569,8178.31,-45.0,-3.5,56.2,0.199988,0.712249
112.76839,41.140679,8176.58,-45.0,-3.5,56.2,0.199988,0.707063
112.768614,41.140789,8174.85,-45.0,-3.6,56.1,0.199988,0.710562
112.768815,41.140889,8173.28,-45.0,-3.6,56.1,0.199988,0.714363
112.768961,41.140961,8172.13,-45.0,-3.6,56.1,0.199988,0.715489
112.769107,41.141033,8170.98,-45.0,-3.6,56.0,0.199988,0.716804
112.769253,41.141106,8169.83,-45.0,-3.6,56.0,0.199988,0.718073
112.769429,41.141193,8168.43,-45.0,-3.6,56.0,0.161083,0.713997
112.769605,41.141281,8167.03,-45.0,-3.7,56.0,0.121905,0.711177
112.769781,41.141368,8165.62,-45.0,-3.7,56.0,0.082673,0.709661
112.769919,41.141436,8164.51,-45.0,-3.7,56.0,0.070597,0.708732
112.770039,41.141496,8163.54,-45.0,-3.7,56.0,0.070597,0.707642
112.770159,41.141556,8162.56,-45.1,-3.7,55.9,0.105567,0.708578
112.77028,41.141616,8161.58,-45.1,-3.7,55.9,0.1448,0.70952
112.7704,41.141676,8160.61,-45.1,-3.7,55.9,0.184033,0.71012
112.770558,41.141755,8159.32,-45.1,-3.7,55.9,0.200043,0.710088
112.770741,41.141846,8157.82,-45.1,-3.7,55.9,0.200043,0.709929
112.770924,41.141938,8156.32,-45.1,-3.8,55.8,0.200043,0.710139
112.771116,41.142033,8154.75,-45.1,-3.8,55.8,0.200043,0.708965
112.771327,41.142139,8152.98,-45.1,-3.8,55.8,0.200043,0.704828
112.771539,41.142245,8151.22,-45.1,-3.9,55.8,0.200043,0.706583
112.771751,41.142351,8149.45,-45.1,-3.9,55.8,0.200043,0.71022
112.771922,41.142437,8148.01,-45.1,-3.9,55.8,0.200043,0.712663
112.772092,41.142522,8146.57,-45.1,-3.9,55.7,0.200043,0.715636
