经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
112.008048,40.96163,2709.95,-0.3,2.3,262.6,0.0,0.452661
112.007874,40.961612,2710.32,-0.3,2.4,262.6,0.0,0.453885
112.007699,40.961595,2710.68,-0.3,2.4,262.6,0.0,0.45531
112.007558,40.961581,2710.99,-0.3,2.4,262.6,0.0,0.4541
112.007426,40.961568,2711.28,-0.3,2.4,262.6,0.0,0.451753
112.007294,40.961556,2711.57,-0.3,2.4,262.6,0.0,0.449139
112.007162,40.961543,2711.86,-0.3,2.4,262.6,0.0,0.447613
112.00703,40.96153,2712.15,-0.3,2.4,262.6,0.0,0.447175
112.006856,40.961512,2712.54,-0.3,2.4,262.6,0.0,0.44697
112.006664,40.961494,2712.98,-0.3,2.5,262.6,0.0,0.447175
112.006471,40.961475,2713.42,-0.3,2.5,262.6,0.0,0.450967
112.006282,40.961456,2713.86,-0.3,2.5,262.6,0.0,0.453823
112.0061,40.961438,2714.29,-0.3,2.5,262.6,0.0,0.454473
112.005916,40.96142,2714.73,-0.3,2.5,262.6,0.0,0.455794
112.005734,40.961402,2715.16,-0.3,2.5,262.6,0.0,0.457269
112.00556,40.961385,2715.58,-0.3,2.5,262.6,0.0,0.454837
112.005386,40.961368,2716.01,-0.3,2.6,262.6,0.0,0.453923
112.005212,40.961351,2716.43,-0.3,2.6,262.6,0.0,0.456369
112.00508,40.961338,2716.76,-0.3,2.6,262.6,0.0,0.456696
112.004959,40.961326,2717.07,-0.3,2.6,262.6,0.0,0.455863
112.004838,40.961314,2717.38,-0.3,2.7,262.6,0.0,0.456344
112.004717,40.961302,2717.69,-0.3,2.7,262.6,0.0,0.458465
112.004595,40.96129,2718.0,-0.3,2.7,262.6,0.0,0.46264
112.004416,40.961273,2718.46,-0.3,2.7,262.6,0.0,0.465964
112.004211,40.961253,2719.0,-0.3,2.7,262.6,0.0,0.469618
112.004007,40.961233,2719.53,-0.3,2.7,262.6,0.0,0.473952
112.003805,40.961213,2720.07,-0.3,2.7,262.6,0.0,0.47644
112.003607,40.961193,2720.61,-0.3,2.7,262.6,0.0,0.475441
112.00341,40.961174,2721.14,-0.3,2.8,262.6,0.0,0.474946
112.003215,40.961155,2721.67,-0.3,2.8,262.6,0.0,0.474794
112.003045,40.961138,2722.15,-0.3,2.8,262.6,0.0,0.473091
112.002875,40.961121,2722.63,-0.3,2.9,262.6,0.0,0.47273
112.002705,40.961105,2723.1,-0.3,2.9,262.6,0.0,0.475069
