经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
111.951893,41.010225,6912.94,13.6,14.9,132.3,25.431762,0.738873
111.951969,41.010173,6915.01,15.8,14.9,132.3,29.817457,0.766619
111.952042,41.010124,6917.0,18.7,14.9,132.4,35.453822,0.791519
111.952114,41.010075,6918.99,21.6,14.9,132.4,41.090186,0.819705
111.952186,41.010025,6920.97,24.5,14.9,132.5,46.72655,0.850866
111.952268,41.009969,6923.23,28.9,14.9,132.6,55.086302,0.879276
111.95235,41.009913,6925.5,33.4,14.9,132.7,63.482012,0.912052
111.952432,41.009857,6927.76,37.9,14.9,132.8,71.877728,0.952022
111.952513,41.009801,6930.02,42.3,14.9,132.9,79.357482,0.994668
111.952595,41.009744,6932.28,46.8,14.9,133.0,86.419856,1.039699
111.952682,41.009684,6934.71,52.9,14.8,133.1,96.679101,1.081405
111.95277,41.009623,6937.15,59.1,14.8,133.3,106.570472,1.126367
111.952858,41.009563,6939.6,65.4,14.7,133.4,115.233583,1.174817
111.952956,41.009494,6942.32,73.3,14.6,133.6,127.098277,1.213943
111.953061,41.009421,6945.24,82.3,14.4,133.6,141.215882,1.249284
111.953165,41.009348,6948.15,91.3,14.2,133.7,155.333487,1.289809
111.953267,41.009276,6950.97,100.3,14.0,133.8,169.017361,1.326826
111.953362,41.00921,6953.55,109.5,13.9,133.8,181.623418,1.346716
111.953456,41.009143,6956.13,118.7,13.7,133.8,194.229488,1.372435
111.95355,41.009077,6958.72,127.9,13.5,133.8,206.835559,1.40404
111.953614,41.009032,6960.42,134.1,13.4,133.8,210.328572,1.415135
111.953677,41.008987,6962.11,140.2,13.3,133.7,213.701115,1.426426
111.95374,41.008943,6963.8,146.4,13.3,133.7,217.07363,1.437336
111.953803,41.008898,6965.49,152.5,13.2,133.6,220.446186,1.447413
111.953866,41.008853,6967.18,158.7,13.1,133.6,223.818728,1.45737
111.953956,41.008789,6969.56,167.6,13.0,133.5,229.41417,1.45936
111.954051,41.008722,6972.04,176.8,12.9,133.5,235.292968,1.460952
111.954145,41.008656,6974.51,186.0,12.8,133.4,241.171739,1.46313
111.954241,41.008587,6977.02,-164.6,12.8,133.4,244.240297,1.458291
111.95434,41.008518,6979.55,-155.1,12.8,133.3,245.331215,1.449451
111.954438,41.008448,6982.09,-145.5,12.7,133.2,246.422133,1.443443
111.954528,41.008384,6984.42,-136.7,12.7,133.2,245.891619,1.435825
111.954599,41.008334,6986.21,-129.8,12.6,133.2,241.331894,1.419839
111.95467,41.008283,6988.01,-122.9,12.6,133.2,236.772169,1.413914
111.954741,41.008233,6989.8,-116.0,12.6,133.1,232.212498,1.417802
111.954812,41.008183,6991.6,-109.1,12.5,133.1,233.62367,1.416369
111.954885,41.008131,6993.45,-102.0,12.5,133.1,235.603714,1.411275
111.95497,41.008071,6995.56,-93.8,12.5,133.1,239.714232,1.396354
111.955054,41.008011,6997.67,-85.5,12.4,133.0,243.824694,1.381618
111.955139,41.007951,6999.77,-77.3,12.4,133.0,247.935266,1.367247
111.955237,41.007882,7002.17,-67.9,12.4,132.9,249.098802,1.337028
111.955337,41.007811,7004.6,-58.3,12.4,132.9,249.886678,1.306106
111.955436,41.007741,7007.03,-48.7,12.4,132.8,250.674554,1.276488
111.95552,41.007681,7009.07,-40.6,12.4,132.8,248.081049,1.244583
111.955593,41.00763,7010.83,-33.5,12.5,132.8,243.107825,1.209315
111.955666,41.007579,7012.6,-26.4,12.5,132.7,238.134573,1.176103
111.955739,41.007527,7014.36,-19.4,12.5,132.7,234.678306,1.145507
111.955812,41.007476,7016.12,-12.3,12.6,132.7,234.992003,1.124166
111.955898,41.007416,7018.18,-4.0,12.6,132.7,237.756863,1.108053
111.955997,41.007346,7020.56,5.5,12.7,132.8,243.104437,1.098277
111.956096,41.007276,7022.94,15.1,12.8,132.9,248.452038,1.109918
111.956191,41.007209,7025.24,24.4,12.8,132.9,252.686728,1.122092
111.956273,41.007151,7027.19,32.3,12.8,133.0,252.080699,1.130492
111.956355,41.007094,7029.15,40.2,12.8,133.2,251.474615,1.139933
111.956436,41.007036,7031.11,48.1,12.8,133.3,250.868559,1.150576
111.956538,41.006964,7033.54,58.0,12.7,133.4,251.821316,1.157801
111.956642,41.00689,7036.04,68.2,12.6,133.5,252.972831,1.171653
111.956747,41.006816,7038.54,78.4,12.5,133.6,254.124373,1.194962
111.956827,41.006759,7040.43,86.2,12.5,133.7,253.426191,1.210219
111.956889,41.006715,7041.9,92.2,12.4,133.7,251.426203,1.218219
111.956951,41.00667,7043.37,98.3,12.3,133.8,249.426187,1.228311
111.957014,41.006626,7044.84,104.3,12.2,133.8,247.426171,1.240202
111.957076,41.006582,7046.32,110.4,12.1,133.8,245.426182,1.260289
111.957165,41.006518,7048.38,119.0,12.0,133.8,246.141084,1.270082
