经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
113.23878,41.231881,4958.38,103.0,-0.6,73.2,278.916266,1.319531
113.238881,41.231904,4958.2,94.9,-0.6,73.2,279.437355,1.330974
113.23902,41.231935,4957.93,83.7,-0.7,73.2,280.952537,1.338331
113.239159,41.231967,4957.66,72.4,-0.7,73.1,282.467719,1.347498
113.239298,41.231999,4957.39,61.2,-0.8,73.1,283.982901,1.35786
113.239432,41.23203,4957.09,50.4,-0.8,73.1,282.442065,1.34584
113.239566,41.23206,4956.79,39.5,-0.8,73.1,280.866313,1.333431
113.2397,41.232091,4956.48,28.7,-0.8,73.1,279.290533,1.3208
113.239797,41.232113,4956.25,20.8,-0.8,73.1,274.508363,1.311952
113.239878,41.232132,4956.05,14.3,-0.8,73.0,268.276662,1.303891
113.239958,41.23215,4955.85,7.8,-0.9,73.0,262.044907,1.294463
113.240039,41.232169,4955.65,1.4,-0.9,73.0,257.960945,1.288936
113.240119,41.232187,4955.45,-5.1,-0.9,72.9,257.255086,1.290147
113.240231,41.232213,4955.17,-14.2,-0.9,72.8,261.680448,1.296518
113.240366,41.232243,4954.82,-25.0,-1.0,72.8,269.691112,1.307473
113.2405,41.232274,4954.47,-35.9,-1.1,72.7,277.701777,1.319702
113.240633,41.232305,4954.11,-46.7,-1.1,72.6,283.085086,1.331276
113.240765,41.232335,4953.74,-57.3,-1.3,72.5,281.994168,1.339492
113.240897,41.232366,4953.37,-68.0,-1.4,72.5,280.903278,1.347629
113.241028,41.232396,4953.0,-78.7,-1.5,72.4,279.81236,1.355953
113.241165,41.232428,4952.57,-89.7,-1.6,72.4,280.219439,1.347525
113.241302,41.232459,4952.14,-100.8,-1.8,72.4,280.643703,1.33989
113.241438,41.232491,4951.71,-111.9,-2.0,72.4,281.067967,1.333079
113.241542,41.232515,4951.36,-120.3,-2.0,72.4,282.307291,1.323093
113.241632,41.232536,4951.05,-127.6,-2.1,72.5,283.915118,1.310297
113.241723,41.232557,4950.73,-134.9,-2.2,72.6,285.522972,1.308732
113.241813,41.232578,4950.42,-142.2,-2.2,72.6,287.130798,1.311124
113.241903,41.232599,4950.1,-149.5,-2.3,72.7,288.738652,1.318591
113.242012,41.232624,4949.69,-158.4,-2.3,72.7,288.365396,1.320481
113.242135,41.232653,4949.22,-168.3,-2.3,72.8,286.607824,1.319767
113.242258,41.232681,4948.75,-178.3,-2.3,72.9,284.850253,1.320093
113.242386,41.232711,4948.26,171.3,-2.3,72.9,283.967382,1.318576
113.242526,41.232743,4947.71,160.0,-2.3,72.9,285.24012,1.311486
113.242665,41.232776,4947.16,148.7,-2.2,72.9,286.512857,1.305397
113.242805,41.232808,4946.61,137.4,-2.2,72.9,287.785595,1.301085
113.242929,41.232837,4946.09,127.4,-2.2,72.9,285.702824,1.296458
113.243053,41.232866,4945.58,117.4,-2.3,72.8,283.581641,1.295556
113.243177,41.232895,4945.07,107.4,-2.3,72.8,281.46043,1.308045
113.24328,41.232919,4944.63,99.1,-2.3,72.8,281.097036,1.319602
113.243373,41.23294,4944.21,91.6,-2.3,72.8,281.528431,1.330208
113.243466,41.232962,4943.8,84.1,-2.4,72.8,281.959799,1.341395
113.243559,41.232984,4943.39,76.6,-2.4,72.8,282.391166,1.352086
113.243652,41.233006,4942.98,69.1,-2.4,72.8,282.822561,1.362316
113.243764,41.233032,4942.46,60.0,-2.4,72.8,283.214067,1.357277
113.24389,41.233061,4941.86,49.9,-2.4,72.8,283.577706,1.342742
113.244016,41.233091,4941.26,39.7,-2.5,72.7,283.941346,1.32864
113.244142,41.233121,4940.66,29.5,-2.5,72.7,283.622758,1.313803
113.24427,41.233151,4940.02,19.2,-2.5,72.7,281.622715,1.296174
113.244397,41.23318,4939.38,8.9,-2.5,72.6,279.622699,1.290312
113.244525,41.23321,4938.75,-1.4,-2.5,72.6,277.62271,1.28724
113.244617,41.233232,4938.27,-8.8,-2.5,72.5,272.482365,1.284431
113.244709,41.233253,4937.8,-16.2,-2.6,72.5,267.305901,1.280822
113.244801,41.233275,4937.33,-23.7,-2.6,72.4,262.129464,1.279466
