经度(°),纬度(°),高度(m),滚转(°),俯仰(°),航向(°),滚转率(°/s),转弯率(°/s)
111.893289,40.949595,10402.39,-179.3,-37.8,82.5,0.0,6.56398
111.893373,40.949604,10397.73,-179.3,-38.0,82.5,0.0,6.515321
111.893458,40.949612,10393.06,-179.3,-38.2,82.5,0.0,6.529407
111.893518,40.949618,10389.67,-179.3,-38.4,82.5,0.0,6.542825
111.893572,40.949623,10386.63,-179.3,-38.6,82.5,0.0,6.546293
111.893626,40.949629,10383.59,-179.3,-38.7,82.5,0.0,6.559175
111.893679,40.949634,10380.55,-179.3,-38.9,82.5,0.0,6.572916
111.893733,40.949639,10377.5,-179.3,-39.1,82.5,0.0,6.625193
111.893809,40.949647,10373.1,-179.3,-39.3,82.5,0.0,6.657896
111.893894,40.949655,10368.09,-179.3,-39.5,82.5,0.0,6.688878
111.89398,40.949664,10363.08,-179.3,-39.8,82.5,0.0,6.725613
111.894063,40.949672,10358.19,-179.3,-40.0,82.5,0.0,6.732145
111.89414,40.94968,10353.51,-179.3,-40.2,82.5,0.0,6.68549
111.894218,40.949687,10348.82,-179.3,-40.5,82.5,0.0,6.641894
111.894295,40.949695,10344.2,-179.3,-40.7,82.5,0.0,6.599998
111.894358,40.949701,10340.26,-179.3,-40.9,82.5,0.0,6.538578
111.894421,40.949707,10336.33,-179.3,-41.1,82.5,0.0,6.503582
111.894484,40.949714,10332.39,-179.3,-41.2,82.4,0.0,6.528002
111.894548,40.94972,10328.45,-179.3,-41.4,82.4,0.0,6.58742
111.894611,40.949726,10324.51,-179.3,-41.6,82.4,0.0,6.651871
111.894698,40.949735,10318.93,-179.3,-41.9,82.4,0.0,6.676298
111.894785,40.949743,10313.34,-179.3,-42.1,82.4,0.0,6.706704
111.894872,40.949752,10307.74,-179.3,-42.4,82.4,0.0,6.742469
111.89496,40.949761,10301.98,-179.3,-42.7,82.4,0.0,6.72559
111.895048,40.94977,10296.15,-179.3,-42.9,82.4,0.0,6.691423
111.895135,40.949778,10290.31,-179.3,-43.2,82.4,0.0,6.667099
111.895209,40.949786,10285.39,-179.3,-43.4,82.4,0.0,6.629634
111.89526,40.949791,10281.9,-179.3,-43.5,82.4,0.0,6.552221
111.895311,40.949796,10278.42,-179.3,-43.7,82.4,0.0,6.507163
111.895362,40.949801,10274.93,-179.3,-43.8,82.4,0.0,6.481605
111.895413,40.949806,10271.44,-179.3,-44.0,82.4,0.0,6.499515
111.895476,40.949812,10267.1,-179.3,-44.2,82.4,0.0,6.497206
111.895567,40.949821,10260.67,-179.3,-44.5,82.4,0.0,6.474082
111.895658,40.94983,10254.24,-179.3,-44.7,82.4,0.0,6.513363
111.895749,40.949839,10247.81,-179.3,-45.0,82.4,0.0,6.576836
111.89583,40.949847,10241.94,-179.3,-45.2,82.4,0.0,6.611458
111.895911,40.949855,10236.07,-179.3,-45.5,82.4,0.0,6.651592
111.895991,40.949863,10230.21,-179.3,-45.7,82.4,0.0,6.696853
111.89607,40.949871,10224.37,-179.3,-46.0,82.4,0.0,6.686037
111.896148,40.949879,10218.55,-179.3,-46.2,82.4,0.0,6.650771
111.896226,40.949887,10212.73,-179.3,-46.5,82.4,0.0,6.618952
111.896293,40.949894,10207.69,-179.3,-46.7,82.4,0.0,6.58719
111.896342,40.949899,10203.88,-179.3,-46.8,82.4,0.0,6.547553
111.896392,40.949903,10200.06,-179.3,-46.9,82.4,0.0,6.531271
111.896441,40.949908,10196.24,-179.3,-47.1,82.4,0.0,6.530478
111.896491,40.949913,10192.43,-179.3,-47.2,82.4,0.0,6.565544
111.896553,40.94992,10187.65,-179.3,-47.4,82.4,0.0,6.592441
111.896643,40.949928,10180.5,-179.3,-47.7,82.4,0.0,6.617064
111.896733,40.949937,10173.36,-179.3,-47.9,82.4,0.0,6.650749
111.896823,40.949947,10166.22,-179.3,-48.2,82.4,0.0,6.692314
111.896902,40.949954,10159.79,-179.3,-48.4,82.4,0.059996,6.634652
111.89698,40.949962,10153.36,-179.2,-48.7,82.3,0.120621,6.581219
111.897059,40.94997,10146.93,-179.2,-48.9,82.3,0.181219,6.533782
111.897118,40.949976,10142.03,-179.2,-49.1,82.3,0.199988,6.47607
111.897168,40.949981,10137.81,-179.2,-49.3,82.3,0.199988,6.407086
111.897218,40.949986,10133.59,-179.2,-49.4,82.3,0.199988,6.420016
111.897268,40.949991,10129.38,-179.2,-49.6,82.3,0.199988,6.45987
111.897319,40.949996,10125.16,-179.2,-49.7,82.3,0.199988,6.538157
111.897385,40.950003,10119.45,-179.2,-50.0,82.3,0.199988,6.588937
111.897463,40.950011,10112.71,-179.2,-50.2,82.3,0.199988,6.630389
111.897541,40.950019,10105.97,-179.2,-50.5,82.3,0.199988,6.678113
111.897618,40.950026,10099.25,-179.2,-50.8,82.3,0.199988,6.697728
111.897693,40.950034,10092.6,-179.2,-51.0,82.3,0.199988,6.638598
111.897767,40.950041,10085.95,-179.2,-51.2,82.3,0.199988,6.58248
111.897842,40.950049,10079.29,-179.2,-51.4,82.3,0.199988,6.529195
111.897916,40.950056,10072.45,-179.2,-51.6,82.3,0.139992,6.468494
111.897991,40.950064,10065.61,-179.2,-51.9,82.3,0.079367,6.429126
111.898066,40.950071,10058.77,-179.2,-52.1,82.3,0.018769,6.460641
111.898126,40.950077,10053.15,-179.2,-52.3,82.3,0.0,6.471339
111.89818,40.950083,10048.08,-179.2,-52.5,82.3,0.0,6.465825
111.898233,40.950088,10043.01,-179.2,-52.7,82.3,0.0,6.450935
111.898287,40.950094,10037.94,-179.2,-52.9,82.3,0.0,6.45636
111.898341,40.950099,10032.87,-179.2,-53.0,82.3,0.0,6.500326
111.898402,40.950105,10027.0,-179.2,-53.2,82.3,0.0,6.52327
111.898468,40.950112,10020.56,-179.2,-53.5,82.3,0.0,6.536977
111.898534,40.950119,10014.13,-179.2,-53.7,82.3,0.0,6.557108
111.898603,40.950126,10007.35,-179.2,-54.0,82.3,0.0,6.555315
111.89868,40.950133,9999.71,-179.2,-54.2,82.3,0.0,6.489419
111.898756,40.950141,9992.06,-179.2,-54.5,82.2,0.0,6.459499
111.898832,40.950149,9984.42,-179.2,-54.7,82.2,0.0,6.440058
111.898877,40.950153,9979.82,-179.2,-54.9,82.2,0.0,6.417251
111.898922,40.950158,9975.25,-179.2,-55.0,82.2,0.0,6.394861
111.898966,40.950162,9970.69,-179.2,-55.2,82.2,0.0,6.403472
111.89901,40.950167,9966.13,-179.2,-55.3,82.2,0.0,6.448555
111.899055,40.950172,9961.56,-179.2,-55.5,82.2,0.0,6.507524
111.899134,40.950179,9953.19,-179.2,-55.7,82.2,0.053958,6.509199
111.899217,40.950188,9944.35,-179.1,-56.0,82.2,0.114556,6.520328
111.8993,40.950196,9935.5,-179.1,-56.3,82.2,0.175181,6.548576
111.899375,40.950204,9927.38,-179.1,-56.5,82.2,0.200015,6.533722
111.899445,40.950211,9919.76,-179.1,-56.8,82.2,0.200015,6.489621
111.899514,40.950218,9912.13,-179.1,-57.0,82.2,0.200015,6.504256
111.899576,40.950225,9905.27,-179.1,-57.2,82.2,0.200015,6.513179
111.89962,40.950229,9900.27,-179.1,-57.4,82.2,0.200015,6.503049
111.899665,40.950234,9895.26,-179.1,-57.6,82.2,0.200015,6.497669
111.899709,40.950238,9890.26,-179.1,-57.7,82.2,0.200015,6.486678
111.899753,40.950243,9885.26,-179.1,-57.9,82.2,0.200015,6.494316
111.899803,40.950248,9879.58,-179.1,-58.1,82.2,0.200015,6.484106
111.899877,40.950255,9871.0,-179.1,-58.3,82.2,0.200015,6.437807
111.89995,40.950263,9862.43,-179.1,-58.6,82.2,0.200015,6.442118
111.900024,40.95027,9853.85,-179.1,-58.9,82.2,0.200015,6.477081
111.900081,40.950276,9846.97,-179.1,-59.1,82.2,0.146057,6.467299
111.900137,40.950282,9840.29,-179.1,-59.3,82.1,0.085459,6.479029
111.900192,40.950288,9833.62,-179.1,-59.5,82.1,0.024835,6.52942
111.900244,40.950293,9827.25,-179.1,-59.7,82.1,0.0,6.549664
111.900294,40.950298,9821.1,-179.1,-59.9,82.1,0.0,6.547096
111.900344,40.950303,9814.96,-179.1,-60.0,82.1,0.0,6.560663
111.900394,40.950308,9808.81,-179.1,-60.2,82.1,0.0,6.570983
111.900443,40.950313,9802.66,-179.1,-60.4,82.1,0.0,6.581183
111.900498,40.950319,9795.72,-179.1,-60.6,82.1,0.043904,6.560998
111.900554,40.950325,9788.58,-179.1,-60.8,82.1,0.099448,6.530078
111.90061,40.95033,9781.43,-179.0,-61.0,82.1,0.154991,6.576793
111.900668,40.950336,9773.99,-179.0,-61.2,82.1,0.199988,6.613604
111.900734,40.950343,9765.33,-179.0,-61.5,82.1,0.199988,6.602173
111.9008,40.95035,9756.67,-179.0,-61.7,82.1,0.199988,6.604007
111.900865,40.950357,9748.01,-179.0,-62.0,82.1,0.199988,6.618641
111.900915,40.950362,9741.29,-179.0,-62.2,82.1,0.199988,6.550596
111.900963,40.950367,9734.8,-179.0,-62.4,82.1,0.199988,6.493888
111.90101,40.950372,9728.32,-179.0,-62.5,82.0,0.199988,6.470599
111.901058,40.950377,9721.83,-179.0,-62.7,82.0,0.199988,6.471303
111.901107,40.950382,9715.14,-179.0,-62.9,82.0,0.199988,6.488711
111.901168,40.950388,9706.42,-179.0,-63.2,82.0,0.199988,6.500421
111.90123,40.950395,9697.7,-179.0,-63.4,82.0,0.199988,6.529535
111.901292,40.950401,9688.98,-179.0,-63.6,82.0,0.199988,6.608141
111.901348,40.950407,9680.88,-179.0,-63.9,82.0,0.199988,6.612035
111.901403,40.950413,9672.94,-179.0,-64.1,82.0,0.199988,6.602872
111.901457,40.950418,9665.0,-178.9,-64.3,82.0,0.199988,6.602329
111.90151,40.950424,9657.27,-178.9,-64.5,82.0,0.199988,6.593811
111.901555,40.950429,9650.45,-178.9,-64.7,82.0,0.199988,6.518639
111.9016,40.950433,9643.62,-178.9,-64.9,82.0,0.199988,6.485328
111.901645,40.950438,9636.8,-178.9,-65.1,81.9,0.199988,6.464103
