x,vx,y,vy,z,vz
0.0000,182.8800,0.0000,0.0000,304.8000,0.0000
6.0956,182.8571,-0.0000,-0.0035,304.7975,-0.1448
12.1904,182.8279,-0.0003,-0.0095,304.7910,-0.2319
18.2841,182.7953,-0.0006,-0.0118,304.7831,-0.2211
24.3767,182.7612,-0.0009,-0.0041,304.7777,-0.0848
30.4682,182.7260,-0.0007,0.0193,304.7790,0.1932
36.5584,182.6881,0.0006,0.0638,304.7922,0.6202
42.6473,182.6445,0.0038,0.1342,304.8220,1.1951
48.7346,182.5910,0.0099,0.2341,304.8734,1.9110
54.8199,182.5233,0.0198,0.3660,304.9509,2.7557
60.9026,182.4372,0.0346,0.5318,305.0584,3.7145
66.9822,182.3292,0.0556,0.7320,305.1996,4.7706
73.0577,182.1968,0.0838,0.9662,305.3773,5.9056
79.1283,182.0384,0.1204,1.2333,305.5940,7.1022
85.1933,181.8536,0.1664,1.5321,305.8513,8.3452
91.2516,181.6425,0.2229,1.8615,306.1507,9.6218
97.3025,181.4059,0.2908,2.2197,306.4930,10.9208
103.3450,181.1449,0.3712,2.6054,306.8789,12.2328
109.3785,180.8609,0.4648,3.0170,307.3086,13.5499
115.4022,180.5555,0.5726,3.4531,307.7822,14.8660
121.4153,180.2302,0.6953,3.9122,308.2996,16.1758
127.4173,179.8866,0.8337,4.3934,308.8605,17.4753
133.4076,179.5262,0.9884,4.8954,309.4645,18.7615
139.3856,179.1502,1.1602,5.4171,310.1111,20.0319
145.3508,178.7598,1.3498,5.9578,310.7997,21.2849
151.3028,178.3560,1.5576,6.5164,311.5299,22.5192
157.2410,177.9398,1.7844,7.0925,312.3008,23.7341
163.1653,177.5118,2.0307,7.6858,313.1119,24.9292
169.0751,177.0727,2.2970,8.2954,313.9625,26.1043
174.9700,176.6229,2.5839,8.9207,314.8520,27.2595
180.8498,176.1628,2.8918,9.5611,315.7796,28.3952
186.7141,175.6926,3.2214,10.2165,316.7448,29.5116
192.5625,175.2126,3.5731,10.8865,317.7468,30.6091
198.3948,174.7228,3.9474,11.5707,318.7852,31.6882
204.2106,174.2233,4.3446,12.2688,319.8592,32.7495
210.0096,173.7141,4.7654,12.9803,320.9683,33.7935
215.7914,173.1951,5.2101,13.7050,322.1119,34.8206
221.5558,172.6663,5.6792,14.4425,323.2895,35.8315
227.3024,172.1276,6.1731,15.1924,324.5005,36.8265
233.0309,171.5789,6.6922,15.9542,325.7444,37.8062
238.7409,171.0201,7.2369,16.7277,327.0207,38.7710
244.4321,170.4510,7.8075,17.5124,328.3290,39.7213
250.1042,169.8716,8.4045,18.3079,329.6686,40.6574
255.7568,169.2818,9.0281,19.1137,331.0393,41.5796
261.3895,168.6814,9.6788,19.9295,332.4405,42.4883
267.0021,168.0705,10.3569,20.7547,333.8717,43.3837
272.5941,167.4488,11.0626,21.5890,335.3326,44.2660
278.1652,166.8163,11.7962,22.4319,336.8226,45.1355
283.7151,166.1730,12.5581,23.2830,338.3415,45.9923
289.2433,165.5188,13.3485,24.1418,339.8886,46.8366
294.7495,164.8536,14.1677,25.0079,341.4638,47.6686
300.2334,164.1774,15.0158,25.8809,343.0664,48.4883
305.6946,163.4902,15.8931,26.7603,344.6962,49.2958
311.1326,162.7920,16.7999,27.6459,346.3527,50.0913
316.5473,162.0828,17.7362,28.5370,348.0355,50.8749
321.9380,161.3624,18.7024,29.4332,349.7442,51.6467
327.3046,160.6310,19.6985,30.3336,351.4785,52.4073
332.6466,159.8883,20.7247,31.2373,353.2379,53.1571
337.9637,159.1344,21.7810,32.1433,355.0222,53.8968
343.2555,158.3692,22.8676,33.0506,356.8309,54.6268
348.5215,157.5927,23.9844,33.9584,358.6638,55.3479
353.7615,156.8047,25.1315,34.8656,360.5207,56.0606
358.9751,156.0053,26.3088,35.7714,362.4011,56.7655
364.1618,155.1944,27.5162,36.6748,364.3050,57.4631
369.3212,154.3720,28.7537,37.5749,366.2319,58.1540
374.4531,153.5380,30.0211,38.4709,368.1818,58.8388
