x,vx,y,vy,z,vz
0.0000,164.5920,0.0000,0.0000,457.2000,0.0000
5.4863,164.5872,0.0000,0.0030,457.1971,-0.1640
10.9725,164.5854,0.0002,0.0087,457.1896,-0.2788
16.4587,164.5860,0.0006,0.0124,457.1790,-0.3510
21.9449,164.5885,0.0010,0.0105,457.1666,-0.3868
27.4313,164.5923,0.0012,0.0004,457.1536,-0.3922
32.9178,164.5971,0.0009,-0.0190,457.1407,-0.3728
38.4044,164.6026,-0.0002,-0.0479,457.1289,-0.3341
43.8913,164.6086,-0.0024,-0.0861,457.1186,-0.2808
49.3783,164.6151,-0.0060,-0.1331,457.1103,-0.2172
54.8656,164.6220,-0.0113,-0.1882,457.1042,-0.1472
60.3531,164.6293,-0.0186,-0.2507,457.1005,-0.0740
65.8409,164.6371,-0.0281,-0.3200,457.0993,-0.0003
71.3290,164.6455,-0.0400,-0.3954,457.1005,0.0716
76.8173,164.6546,-0.0546,-0.4764,457.1040,0.1398
82.3059,164.6644,-0.0719,-0.5624,457.1098,0.2030
87.7949,164.6751,-0.0921,-0.6528,457.1175,0.2601
93.2843,164.6868,-0.1154,-0.7472,457.1270,0.3104
98.7741,164.6996,-0.1420,-0.8451,457.1381,0.3534
104.2643,164.7136,-0.1718,-0.9463,457.1505,0.3890
109.7550,164.7288,-0.2051,-1.0504,457.1639,0.4170
115.2462,164.7453,-0.2419,-1.1572,457.1782,0.4378
120.7380,164.7633,-0.2823,-1.2666,457.1931,0.4516
126.2305,164.7828,-0.3263,-1.3785,457.2083,0.4589
131.7236,164.8038,-0.3742,-1.4929,457.2236,0.4602
137.2174,164.8265,-0.4259,-1.6097,457.2389,0.4560
142.7120,164.8509,-0.4815,-1.7290,457.2539,0.4468
148.2075,164.8771,-0.5412,-1.8509,457.2686,0.4333
153.7038,164.9051,-0.6050,-1.9756,457.2828,0.4161
159.2012,164.9350,-0.6729,-2.1032,457.2963,0.3959
164.6995,164.9669,-0.7452,-2.2338,457.3091,0.3731
170.1990,165.0009,-0.8219,-2.3677,457.3212,0.3484
175.6996,165.0370,-0.9031,-2.5049,457.3323,0.3222
181.2015,165.0753,-0.9889,-2.6458,457.3426,0.2950
186.7047,165.1158,-1.0795,-2.7904,457.3520,0.2673
192.2092,165.1587,-1.1750,-2.9390,457.3605,0.2395
197.7153,165.2039,-1.2755,-3.0917,457.3680,0.2118
203.2228,165.2516,-1.3811,-3.2486,457.3746,0.1846
208.7321,165.3018,-1.4921,-3.4099,457.3803,0.1581
214.2430,165.3545,-1.6085,-3.5758,457.3851,0.1325
219.7557,165.4098,-1.7305,-3.7463,457.3891,0.1080
225.2703,165.4677,-1.8583,-3.9215,457.3923,0.0846
230.7869,165.5283,-1.9920,-4.1015,457.3948,0.0626
236.3056,165.5916,-2.1318,-4.2863,457.3965,0.0420
241.8264,165.6577,-2.2778,-4.4761,457.3976,0.0228
247.3495,165.7266,-2.4303,-4.6707,457.3981,0.0050
252.8749,165.7982,-2.5893,-4.8704,457.3980,-0.0114
258.4027,165.8727,-2.7550,-5.0750,457.3973,-0.0263
263.9331,165.9500,-2.9277,-5.2846,457.3962,-0.0399
269.4661,166.0301,-3.1074,-5.4992,457.3947,-0.0522
275.0018,166.1130,-3.2943,-5.7187,457.3927,-0.0633
280.5403,166.1987,-3.4887,-5.9432,457.3905,-0.0731
286.0817,166.2872,-3.6906,-6.1726,457.3879,-0.0818
291.6262,166.3786,-3.9002,-6.4069,457.3850,-0.0894
297.1737,166.4726,-4.1178,-6.6461,457.3819,-0.0960
302.7244,166.5693,-4.3434,-6.8901,457.3786,-0.1017
308.2783,166.6687,-4.5772,-7.1389,457.3752,-0.1065
313.8356,166.7704,-4.8193,-7.3924,457.3715,-0.1105
319.3964,166.8736,-5.0701,-7.6507,457.3678,-0.1137
324.9605,166.9769,-5.3294,-7.9135,457.3640,-0.1163
330.5281,167.0789,-5.5977,-8.1808,457.3601,-0.1184
336.0991,167.1788,-5.8749,-8.4525,457.3561,-0.1200
341.6734,167.2758,-6.1612,-8.7284,457.3521,-0.1213
347.2508,167.3693,-6.4568,-9.0085,457.3480,-0.1222
352.8313,167.4587,-6.7618,-9.2927,457.3439,-0.1229
358.4147,167.5432,-7.0764,-9.5808,457.3398,-0.1235
364.0008,167.6225,-7.4006,-9.8729,457.3357,-0.1239
369.5894,167.6965,-7.7346,-10.1687,457.3316,-0.1242
375.1805,167.7654,-8.0785,-10.4684,457.3274,-0.1245
380.7737,167.8293,-8.4325,-10.7717,457.3233,-0.1247
386.3690,167.8883,-8.7967,-11.0788,457.3191,-0.1249
391.9662,167.9426,-9.1712,-11.3895,457.3149,-0.1252
397.5652,167.9922,-9.5560,-11.7038,457.3108,-0.1254
403.1657,168.0372,-9.9515,-12.0218,457.3066,-0.1257
408.7676,168.0778,-10.3575,-12.3433,457.3024,-0.1260
414.3708,168.1141,-10.7744,-12.6683,457.2982,-0.1263
419.9751,168.1460,-11.2021,-12.9969,457.2939,-0.1267
425.5805,168.1738,-11.6409,-13.3289,457.2897,-0.1270
431.1867,168.1975,-12.0908,-13.6644,457.2855,-0.1274
436.7936,168.2172,-12.5519,-14.0034,457.2812,-0.1277
442.4011,168.2330,-13.0244,-14.3458,457.2770,-0.1281
448.0091,168.2449,-13.5083,-14.6916,457.2727,-0.1284
453.6174,168.2530,-14.0038,-15.0409,457.2684,-0.1287
459.2259,168.2574,-14.5111,-15.3935,457.2641,-0.1290
464.8345,168.2581,-15.0301,-15.7495,457.2598,-0.1291
470.4431,168.2552,-15.5611,-16.1089,457.2555,-0.1293
476.0515,168.2488,-16.1041,-16.4716,457.2512,-0.1293
481.6596,168.2388,-16.6592,-16.8376,457.2469,-0.1293
487.2674,168.2255,-17.2266,-17.2069,457.2426,-0.1292
492.8746,168.2087,-17.8064,-17.5795,457.2383,-0.1290
498.4813,168.1887,-18.3986,-17.9553,457.2340,-0.1288
504.0872,168.1653,-19.0034,-18.3344,457.2297,-0.1284
509.6923,168.1387,-19.6210,-18.7167,457.2254,-0.1279
515.2964,168.1088,-20.2513,-19.1022,457.2212,-0.1273
520.8995,168.0758,-20.8945,-19.4909,457.2169,-0.1266
526.5014,168.0397,-21.5507,-19.8828,457.2127,-0.1257
532.1021,168.0005,-22.2200,-20.2777,457.2085,-0.1248
537.7014,167.9582,-22.9026,-20.6758,457.2044,-0.1237
543.2993,167.9128,-23.5984,-21.0769,457.2003,-0.1225
548.8956,167.8645,-24.3077,-21.4811,457.1962,-0.1213
554.4902,167.8132,-25.0306,-21.8883,457.1922,-0.1199
560.0831,167.7589,-25.7670,-22.2985,457.1882,-0.1184
565.6741,167.7018,-26.5171,-22.7116,457.1843,-0.1167
571.2632,167.6417,-27.2811,-23.1277,457.1805,-0.1150
576.8502,167.5788,-28.0590,-23.5466,457.1767,-0.1131
582.4350,167.5130,-28.8509,-23.9685,457.1729,-0.1112
588.0177,167.4443,-29.6570,-24.3932,457.1693,-0.1091
593.5980,167.3729,-30.4772,-24.8206,457.1656,-0.1069
599.1758,167.2987,-31.3117,-25.2509,457.1621,-0.1047
604.7512,167.2217,-32.1606,-25.6839,457.1587,-0.1023
610.3239,167.1419,-33.0240,-26.1196,457.1553,-0.0998
615.8939,167.0594,-33.9019,-26.5580,457.1520,-0.0972
621.4612,166.9741,-34.7945,-26.9990,457.1488,-0.0946
627.0255,166.8861,-35.7019,-27.4427,457.1457,-0.0918
632.5869,166.7954,-36.6241,-27.8890,457.1427,-0.0890
638.1452,166.7020,-37.5612,-28.3377,457.1398,-0.0860
643.7003,166.6060,-38.5133,-28.7890,457.1370,-0.0830
649.2522,166.5072,-39.4805,-29.2428,457.1342,-0.0799
654.8008,166.4058,-40.4629,-29.6991,457.1316,-0.0767
660.3459,166.3017,-41.4605,-30.1577,457.1291,-0.0734
665.8875,166.1949,-42.4734,-30.6188,457.1267,-0.0701
671.4255,166.0856,-43.5017,-31.0822,457.1245,-0.0666
676.9599,165.9735,-44.5456,-31.5479,457.1223,-0.0631
682.4904,165.8588,-45.6050,-32.0159,457.1203,-0.0595
688.0171,165.7415,-46.6800,-32.4861,457.1183,-0.0559
693.5398,165.6216,-47.7707,-32.9585,457.1165,-0.0521
699.0585,165.4990,-48.8772,-33.4331,457.1149,-0.0483
704.5731,165.3739,-49.9996,-33.9099,457.1133,-0.0444
710.0834,165.2461,-51.1379,-34.3888,457.1119,-0.0405
715.5894,165.1156,-52.2922,-34.8697,457.1106,-0.0364
721.0911,164.9826,-53.4626,-35.3527,457.1095,-0.0323
726.5882,164.8470,-54.6491,-35.8376,457.1085,-0.0282
732.0808,164.7087,-55.8518,-36.3246,457.1076,-0.0239
737.5688,164.5678,-57.0707,-36.8135,457.1069,-0.0196
743.0520,164.4244,-58.3060,-37.3042,457.1063,-0.0153
748.5304,164.2783,-59.5577,-37.7969,457.1059,-0.0108
754.0039,164.1296,-60.8259,-38.2913,457.1056,-0.0063
759.4723,163.9783,-62.1105,-38.7876,457.1054,-0.0018
764.9357,163.8244,-63.4117,-39.2856,457.1054,0.0028
770.3939,163.6679,-64.7296,-39.7853,457.1056,0.0074
775.8469,163.5088,-66.0641,-40.2867,457.1059,0.0122
781.2945,163.3470,-67.4154,-40.7898,457.1064,0.0169
786.7367,163.1827,-68.7834,-41.2945,457.1071,0.0217
792.1733,163.0158,-70.1683,-41.8007,457.1079,0.0266
797.6043,162.8462,-71.5702,-42.3085,457.1088,0.0315
803.0297,162.6740,-72.9889,-42.8178,457.1100,0.0365
808.4493,162.4992,-74.4247,-43.3286,457.1113,0.0415
813.8629,162.3218,-75.8775,-43.8408,457.1128,0.0466
819.2707,162.1418,-77.3474,-44.3544,457.1144,0.0517
824.6724,161.9591,-78.8345,-44.8693,457.1162,0.0569
830.0679,161.7739,-80.3387,-45.3856,457.1182,0.0621
835.4573,161.5860,-81.8602,-45.9032,457.1203,0.0673
840.8403,161.3955,-83.3990,-46.4220,457.1227,0.0726
846.2169,161.2023,-84.9550,-46.9421,457.1252,0.0779
851.5871,161.0066,-86.5284,-47.4633,457.1279,0.0832
856.9507,160.8081,-88.1193,-47.9857,457.1307,0.0886
862.3076,160.6071,-89.7275,-48.5092,457.1338,0.0940
867.6578,160.4037,-91.3532,-49.0338,457.1370,0.0995
873.0012,160.1981,-92.9964,-49.5597,457.1404,0.1050
878.3376,159.9907,-94.6572,-50.0869,457.1440,0.1106
883.6672,159.7816,-96.3356,-50.6154,457.1478,0.1163
888.9897,159.5712,-98.0316,-51.1453,457.1518,0.1220
894.3052,159.3595,-99.7453,-51.6767,457.1559,0.1279
899.6137,159.1469,-101.4767,-52.2097,457.1603,0.1339
904.9150,158.9335,-103.2259,-52.7442,457.1648,0.1399
910.2092,158.7194,-104.9930,-53.2804,457.1696,0.1462
915.4963,158.5048,-106.7780,-53.8182,457.1746,0.1527
920.7762,158.2898,-108.5809,-54.3577,457.1798,0.1598
926.0490,158.0746,-110.4019,-54.8987,457.1852,0.1674
931.3145,157.8593,-112.2408,-55.4412,457.1910,0.1759
936.5729,157.6440,-114.0979,-55.9852,457.1970,0.1853
941.8241,157.4287,-115.9732,-56.5304,457.2033,0.1958
947.0682,157.2136,-117.8667,-57.0769,457.2100,0.2074
952.3050,156.9988,-119.7783,-57.6243,457.2172,0.2202
957.5348,156.7843,-121.7083,-58.1725,457.2247,0.2343
962.7573,156.5702,-123.6565,-58.7213,457.2328,0.2497
967.9728,156.3565,-125.6230,-59.2703,457.2414,0.2665
973.1811,156.1435,-127.6079,-59.8193,457.2506,0.2847
978.3823,155.9310,-129.6110,-60.3680,457.2604,0.3042
983.5765,155.7193,-131.6324,-60.9160,457.2709,0.3250
988.7636,155.5083,-133.6720,-61.4630,457.2821,0.3472
993.9437,155.2981,-135.7299,-62.0087,457.2940,0.3706
999.1169,155.0888,-137.8059,-62.5525,457.3068,0.3951
1004.2830,154.8804,-139.9000,-63.0943,457.3204,0.4208
1009.4422,154.6730,-142.0122,-63.6335,457.3349,0.4475
1014.5945,154.4666,-144.1422,-64.1698,457.3502,0.4752
1019.7400,154.2613,-146.2901,-64.7029,457.3666,0.5037
1024.8787,154.0572,-148.4557,-65.2324,457.3838,0.5330
1030.0105,153.8541,-150.6389,-65.7578,457.4021,0.5630
1035.1356,153.6522,-152.8395,-66.2790,457.4214,0.5935
1040.2540,153.4515,-155.0575,-66.7955,457.4417,0.6244
1045.3657,153.2520,-157.2925,-67.3070,457.4630,0.6558
1050.4708,153.0537,-159.5445,-67.8133,457.4854,0.6873
1055.5693,152.8565,-161.8134,-68.3141,457.5088,0.7189
1060.6613,152.6606,-164.0988,-68.8091,457.5333,0.7506
1065.7467,152.4659,-166.4006,-69.2980,457.5589,0.7822
1070.8257,152.2723,-168.7186,-69.7807,457.5855,0.8135
1075.8982,152.0798,-171.0525,-70.2570,457.6131,0.8446
1080.9643,151.8885,-173.4023,-70.7267,457.6418,0.8753
1086.0241,151.6983,-175.7676,-71.1896,457.6714,0.9056
1091.0776,151.5092,-178.1482,-71.6456,457.7021,0.9353
1096.1247,151.3211,-180.5439,-72.0946,457.7338,0.9643
1101.1656,151.1340,-182.9544,-72.5366,457.7664,0.9927
1106.2003,150.9478,-185.3796,-72.9713,457.8000,1.0202
1111.2288,150.7627,-187.8191,-73.3989,457.8344,1.0469
1116.2512,150.5784,-190.2727,-73.8193,457.8697,1.0727
1121.2674,150.3949,-192.7403,-74.2324,457.9059,1.0976
1126.2775,150.2124,-195.2215,-74.6383,457.9429,1.1215
1131.2816,150.0306,-197.7161,-75.0369,457.9807,1.1443
1136.2796,149.8497,-200.2239,-75.4283,458.0192,1.1661
1141.2716,149.6695,-202.7446,-75.8126,458.0584,1.1868
1146.2576,149.4900,-205.2780,-76.1898,458.0983,1.2064
1151.2376,149.3113,-207.8238,-76.5601,458.1388,1.2249
1156.2117,149.1334,-210.3819,-76.9234,458.1799,1.2422
1161.1798,148.9562,-212.9520,-77.2798,458.2216,1.2584
1166.1421,148.7797,-215.5338,-77.6296,458.2638,1.2734
1171.0985,148.6041,-218.1272,-77.9728,458.3065,1.2872
1176.0490,148.4293,-220.7319,-78.3096,458.3496,1.3000
1180.9938,148.2553,-223.3478,-78.6400,458.3931,1.3116
1185.9327,148.0823,-225.9745,-78.9643,458.4370,1.3221
1190.8659,147.9101,-228.6120,-79.2825,458.4813,1.3315
1195.7934,147.7389,-231.2599,-79.5948,458.5258,1.3398
1200.7152,147.5686,-233.9182,-79.9013,458.5706,1.3470
1205.6313,147.3993,-236.5866,-80.2021,458.6156,1.3532
1210.5418,147.2309,-239.2650,-80.4975,458.6608,1.3584
1215.4467,147.0636,-241.9531,-80.7875,458.7061,1.3626
1220.3461,146.8973,-244.6507,-81.0722,458.7516,1.3658
1225.2399,146.7321,-247.3578,-81.3518,458.7972,1.3681
1230.1282,146.5681,-250.0741,-81.6265,458.8428,1.3694
1235.0111,146.4053,-252.7995,-81.8964,458.8885,1.3699
1239.8886,146.2437,-255.5338,-82.1616,458.9341,1.3695
1244.7607,146.0835,-258.2769,-82.4224,458.9798,1.3682
1249.6275,145.9247,-261.0286,-82.6787,459.0253,1.3662
1254.4890,145.7674,-263.7888,-82.9309,459.0708,1.3634
1259.3454,145.6116,-266.5573,-83.1790,459.1162,1.3598
1264.1965,145.4573,-269.3340,-83.4231,459.1615,1.3555
1269.0425,145.3047,-272.1188,-83.6634,459.2066,1.3505
1273.8835,145.1538,-274.9115,-83.9000,459.2515,1.3448
1278.7195,145.0046,-277.7121,-84.1330,459.2962,1.3385
1283.5505,144.8572,-280.5204,-84.3626,459.3407,1.3316
1288.3766,144.7116,-283.3362,-84.5888,459.3850,1.3240
1293.1980,144.5679,-286.1596,-84.8118,459.4290,1.3159
1298.0145,144.4260,-288.9903,-85.0316,459.4727,1.3072
1302.8264,144.2862,-291.8283,-85.2484,459.5161,1.2980
1307.6336,144.1483,-294.6735,-85.4623,459.5592,1.2883
1312.4363,144.0123,-297.5258,-85.6733,459.6020,1.2780
1317.2345,143.8784,-300.3850,-85.8816,459.6444,1.2673
1322.0282,143.7465,-303.2512,-86.0871,459.6865,1.2562
1326.8176,143.6167,-306.1241,-86.2901,459.7282,1.2446
1331.6027,143.4888,-309.0038,-86.4905,459.7695,1.2326
1336.3835,143.3630,-311.8902,-86.6885,459.8103,1.2202
