x,vx,y,vy,z,vz
0.0000,243.8400,0.0000,0.0000,609.6000,0.0000
8.1268,243.7682,0.0000,0.0000,609.6000,0.0155
16.2512,243.6952,0.0000,0.0000,609.6026,0.1670
24.3732,243.6232,0.0000,0.0000,609.6130,0.4929
32.4928,243.5515,0.0000,0.0000,609.6375,1.0071
40.6099,243.4772,0.0000,0.0001,609.6822,1.7091
48.7245,243.3960,0.0000,0.0001,609.7533,2.5849
56.8362,243.3039,0.0000,0.0002,609.8563,3.6142
64.9446,243.1968,0.0000,0.0003,609.9958,4.7748
73.0491,243.0724,0.0000,0.0004,610.1757,6.0402
81.1492,242.9292,0.0000,0.0005,610.3994,7.3857
89.2442,242.7666,0.0001,0.0005,610.6689,8.7904
97.3334,242.5850,0.0001,0.0006,610.9859,10.2351
105.4163,242.3856,0.0001,0.0007,611.3515,11.7027
113.4923,242.1700,0.0001,0.0008,611.7662,13.1797
121.5608,241.9396,0.0002,0.0008,612.2301,14.6556
129.6215,241.6960,0.0002,0.0009,612.7431,16.1227
137.6738,241.4408,0.0002,0.0009,613.3048,17.5753
145.7174,241.1754,0.0002,0.0010,613.9146,19.0095
153.7520,240.9009,0.0003,0.0010,614.5718,20.4229
161.7774,240.6181,0.0003,0.0010,615.2759,21.8148
169.7931,240.3278,0.0003,0.0010,616.0259,23.1852
177.7991,240.0304,0.0004,0.0010,616.8213,24.5349
185.7951,239.7262,0.0004,0.0010,617.6614,25.8652
193.7808,239.4153,0.0004,0.0009,618.5455,27.1779
201.7560,239.0977,0.0005,0.0009,619.4731,28.4750
209.7206,238.7733,0.0005,0.0009,620.4436,29.7584
217.6742,238.4420,0.0005,0.0008,621.4568,31.0302
225.6166,238.1035,0.0006,0.0008,622.5122,32.2923
233.5477,237.7577,0.0006,0.0008,623.6096,33.5464
241.4671,237.4041,0.0006,0.0008,624.7486,34.7941
249.3745,237.0427,0.0006,0.0007,625.9291,36.0367
257.2698,236.6731,0.0007,0.0007,627.1510,37.2755
265.1526,236.2952,0.0007,0.0007,628.4141,38.5114
273.0227,235.9087,0.0007,0.0007,629.7184,39.7450
280.8798,235.5134,0.0007,0.0007,631.0638,40.9771
288.7235,235.1093,0.0008,0.0007,632.4502,42.2078
296.5536,234.6962,0.0008,0.0007,633.8776,43.4376
304.3698,234.2741,0.0008,0.0008,635.3460,44.6665
312.1718,233.8428,0.0008,0.0008,636.8554,45.8944
319.9593,233.4024,0.0009,0.0008,638.4056,47.1215
327.7319,232.9528,0.0009,0.0008,639.9968,48.3474
335.4893,232.4940,0.0009,0.0009,641.6288,49.5721
343.2314,232.0262,0.0009,0.0009,643.3016,50.7954
350.9577,231.5492,0.0010,0.0010,645.0151,52.0169
358.6679,231.0633,0.0010,0.0010,646.7693,53.2365
366.3618,230.5683,0.0010,0.0011,648.5642,54.4541
374.0390,230.0644,0.0011,0.0011,650.3996,55.6692
381.6993,229.5516,0.0011,0.0012,652.2754,56.8818
389.3423,229.0299,0.0012,0.0012,654.1917,58.0917
396.9679,228.4995,0.0012,0.0013,656.1482,59.2986
404.5756,227.9604,0.0012,0.0013,658.1449,60.5025
412.1651,227.4126,0.0013,0.0014,660.1817,61.7033
419.7363,226.8561,0.0013,0.0014,662.2584,62.9007
427.2888,226.2910,0.0014,0.0015,664.3750,64.0946
434.8223,225.7174,0.0014,0.0016,666.5313,65.2851
442.3365,225.1352,0.0015,0.0016,668.7273,66.4721
449.8312,224.5446,0.0015,0.0017,670.9628,67.6554
457.3060,223.9454,0.0016,0.0017,673.2376,68.8350
464.7608,223.3377,0.0017,0.0018,675.5517,70.0108
472.1951,222.7217,0.0017,0.0018,677.9050,71.1829
479.6088,222.0971,0.0018,0.0019,680.2972,72.3512
487.0015,221.4642,0.0018,0.0019,682.7283,73.5155
494.3730,220.8229,0.0019,0.0020,685.1982,74.6760
501.7229,220.1731,0.0020,0.0020,687.7067,75.8326
509.0511,219.5150,0.0020,0.0021,690.2537,76.9851
516.3572,218.8485,0.0021,0.0021,692.8390,78.1336
523.6409,218.1737,0.0022,0.0022,695.4625,79.2781
530.9020,217.4905,0.0023,0.0022,698.1241,80.4185
538.1402,216.7989,0.0023,0.0023,700.8237,81.5547
545.3552,216.0991,0.0024,0.0023,703.5611,82.6867
552.5467,215.3909,0.0025,0.0024,706.3361,83.8145
559.7145,214.6744,0.0026,0.0024,709.1487,84.9380
566.8582,213.9497,0.0027,0.0025,711.9986,86.0572
573.9777,213.2166,0.0027,0.0025,714.8858,87.1720
581.0726,212.4754,0.0028,0.0026,717.8100,88.2824
588.1426,211.7258,0.0029,0.0026,720.7712,89.3882
595.1875,210.9681,0.0030,0.0027,723.7692,90.4896
602.2071,210.2022,0.0031,0.0027,726.8038,91.5863
609.2009,209.4280,0.0032,0.0028,729.8749,92.6784
616.1689,208.6457,0.0033,0.0028,732.9823,93.7657
623.1106,207.8553,0.0034,0.0029,736.1259,94.8482
630.0258,207.0567,0.0035,0.0029,739.3055,95.9259
636.9142,206.2501,0.0036,0.0030,742.5209,96.9986
643.7757,205.4353,0.0037,0.0030,745.7720,98.0664
650.6098,204.6125,0.0038,0.0030,749.0586,99.1291
657.4164,203.7816,0.0039,0.0031,752.3805,100.1868
664.1952,202.9427,0.0040,0.0031,755.7376,101.2393
670.9459,202.0958,0.0041,0.0032,759.1298,102.2867
677.6682,201.2409,0.0042,0.0032,762.5567,103.3288
684.3618,200.3780,0.0043,0.0033,766.0183,104.3657
691.0266,199.5071,0.0044,0.0033,769.5144,105.3971
697.6622,198.6282,0.0045,0.0033,773.0447,106.4232
704.2684,197.7415,0.0046,0.0034,776.6092,107.4439
710.8449,196.8468,0.0047,0.0034,780.2076,108.4590
717.3914,195.9442,0.0048,0.0035,783.8397,109.4685
723.9078,195.0337,0.0050,0.0035,787.5054,110.4724
730.3936,194.1154,0.0051,0.0035,791.2045,111.4707
736.8487,193.1892,0.0052,0.0036,794.9367,112.4631
743.2728,192.2553,0.0053,0.0036,798.7020,113.4498
749.6656,191.3135,0.0054,0.0036,802.5000,114.4306
756.0269,190.3640,0.0056,0.0037,806.3306,115.4055
762.3565,189.4067,0.0057,0.0037,810.1936,116.3743
768.6540,188.4417,0.0058,0.0037,814.0888,117.3372
774.9192,187.4689,0.0059,0.0038,818.0160,118.2939
781.1518,186.4885,0.0061,0.0038,821.9750,119.2444
787.3516,185.5005,0.0062,0.0038,825.9656,120.1887
793.5184,184.5048,0.0063,0.0039,829.9875,121.1267
799.6519,183.5015,0.0064,0.0039,834.0406,122.0584
805.7518,182.4906,0.0066,0.0039,838.1247,122.9836
811.8178,181.4721,0.0067,0.0039,842.2395,123.9023
817.8498,180.4461,0.0068,0.0040,846.3848,124.8145
823.8475,179.4126,0.0070,0.0040,850.5603,125.7201
